Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
6,Greet Minnen [BEL],1,5,16.7%,4,0,4,0.0%,2024,2025,6,0.91,8.3%,5.4%,60.0%,71.9%,38.8%,58.6%,37.6%,43.9%,46.3%
6,Marina Bassols Ribera [ESP],5,1,83.3%,2,2,0,100.0%,2019,2021,0,,,,,,,,,,
4,Maja Chwalinska [POL],1,3,25.0%,1,0,1,0.0%,2022,2026,4,0.96,6.7%,4.0%,61.7%,60.7%,46.4%,55.2%,43.0%,51.2%,43.6%
4,Viktorija Golubic [SUI],2,2,50.0%,2,2,0,100.0%,2016,2025,4,0.96,8.6%,6.5%,61.9%,68.3%,45.9%,59.8%,38.5%,60.0%,38.1%
4,Angela Fita Boluda [ESP],3,1,75.0%,0,0,0,-,2018,2025,1,1.34,0.0%,5.0%,55.0%,78.8%,51.9%,66.7%,44.6%,100.0%,50.0%
4,Francesca Jones [GBR],1,3,25.0%,2,0,2,0.0%,2024,2025,3,1.01,9.8%,7.6%,57.8%,73.1%,40.0%,59.1%,41.1%,54.5%,25.7%
4,Aliaksandra Sasnovich [BLR],3,1,75.0%,0,0,0,-,2023,2025,4,1.17,7.1%,6.8%,59.2%,68.3%,46.0%,59.2%,47.6%,66.7%,51.4%
4,Linda Fruhvirtova [CZE],1,3,25.0%,1,0,1,0.0%,2022,2024,3,1.06,3.0%,9.8%,57.3%,61.9%,41.0%,53.0%,50.0%,46.2%,51.6%
3,Mananchaya Sawangkaew [THA],2,1,66.7%,0,0,0,-,2024,2026,2,0.96,4.9%,7.0%,62.2%,60.7%,48.1%,55.9%,42.5%,50.0%,42.1%
3,Xin Yu Wang [CHN],2,1,66.7%,1,1,0,100.0%,2024,2026,3,1.00,5.2%,3.8%,66.5%,64.5%,49.3%,59.4%,40.4%,56.5%,45.5%
3,Leolia Jeanjean [FRA],2,1,66.7%,1,1,0,100.0%,2021,2025,1,0.77,3.2%,6.5%,56.5%,57.1%,44.4%,51.6%,37.3%,44.4%,50.0%
3,Maria Sakkari [GRE],2,1,66.7%,1,1,0,100.0%,2023,2025,3,1.12,6.3%,4.3%,65.0%,67.9%,51.7%,62.2%,42.4%,68.0%,29.0%
3,Daria Snigur [UKR],2,1,66.7%,0,0,0,-,2022,2025,3,1.12,9.8%,4.9%,60.3%,72.4%,43.2%,60.8%,44.0%,55.6%,41.7%
3,Arantxa Rus [NED],3,0,100.0%,0,0,0,-,2024,2025,3,1.29,9.3%,7.4%,58.3%,68.9%,50.6%,61.3%,49.8%,55.0%,53.1%
3,Anna Karolina Schmiedlova [SVK],2,1,66.7%,1,0,1,0.0%,2022,2025,3,0.99,5.2%,5.6%,67.3%,64.1%,50.6%,59.7%,40.1%,68.2%,40.9%
