Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
31-Jul-2023,Prague,Hard,Q1,,117,(3) Viktoria Kuzmova [SVK] d. (WC) Voracova,6-2 6-2,0.39,0.0%,11.3%,71.0%,59.1%,27.8%,6/10,1:05
08-May-2023,W100 Trnava,Clay,Q1,,460,(7) Ksenia Laskutova [RUS] d. Voracova,6-2 7-5,,,,,,,,
22-Nov-2021,W100+H Dubai,Hard,Q2,,289,(7) Naiktha Bains [GBR] d. (WC) Voracova,5-7 6-3 10-7,,,,,,,,
22-Nov-2021,W100+H Dubai,Hard,Q1,,416,(WC) Voracova d. (14) Marianna Zakarlyuk [UKR],4-6 6-3 10-2,,,,,,,,
13-Jan-2020,Hobart,Hard,Q1,805,81,(4) Christina Mchale [USA] d. (WC) Voracova,6-0 6-2,0.51,1.9%,7.5%,73.6%,48.7%,14.3%,5/11,1:04
14-Oct-2019,Luxembourg,Hard,Q3,714,210,Antonia Lottner [GER] d. (Alt) Voracova,7-6(5) 6-2,0.78,6.8%,2.7%,71.6%,62.3%,52.4%,5/8,1:28
14-Oct-2019,Luxembourg,Hard,Q2,714,136,(Alt) Voracova d. (6) Varvara Lepchenko [USA],7-5 7-6(6),1.03,2.4%,16.5%,63.5%,70.4%,41.9%,4/8,2:02
14-Oct-2019,Luxembourg,Hard,Q1,714,550,(Alt) Voracova d. Luisa Stefani [BRA],6-4 7-6(2),1.25,0.0%,6.9%,63.9%,71.7%,50.0%,3/5,1:49
09-Sep-2019,Zhengzhou,Hard,Q1,725,181,(6) Lizette Cabrera [AUS] d. Voracova,6-3 6-4,0.83,1.3%,9.1%,57.1%,47.7%,33.3%,7/14,1:31
19-Aug-2019,New York,Hard,Q1,728,301,Jana Fett [CRO] d. Voracova,6-3 6-3,0.73,7.8%,12.5%,65.6%,66.7%,45.5%,4/7,1:16
29-Jul-2019,Karlsruhe,Clay,R32,638,93,(6) Irina Camelia Begu [ROU] d. (Q) Voracova,6-7(4) 6-4 6-4,0.94,1.0%,8.9%,62.4%,52.4%,34.2%,5/15,2:50
15-Jul-2019,Lausanne,Clay,Q1,632,486,(Alt) Ena Shibahara [USA] d. Voracova,6-3 6-3,0.73,0.0%,12.1%,70.7%,56.1%,41.2%,2/6,1:13
13-May-2019,W100 Trnava,Clay,Q1,492,343,(13) Carolina Alves [BRA] d. Voracova,4-6 7-6(3) [14-12],,,,,,,,
