Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2023-05-29),1297,4,,,,,,,,,,,,
2022,540,68,,,,,,,,,,,,
2021,247,292,259,1401,230,1395,233,1372,192,1368,,,,
2020,213,311,,,,,,,,,645,71,,
2019,195,310,197,1537,195,1494,177,1495,162,1450,702,51,,
2018,167,353,145,1603,166,1527,120,1566,145,1467,937,3,,
2017,106,600,134,1619,140,1563,91,1623,128,1491,456,109,,
2016,133,456,136,1614,124,1603,139,1531,131,1510,345,152,,
2015,132,418,132,1611,136,1558,122,1556,121,1524,375,132,,
2014,138,400,142,1606,144,1553,125,1570,,,254,210,,
2013,213,293,208,1510,222,1436,164,1507,209,1345,306,205,,
2012,197,311,244,1425,251,1360,222,1393,211,1319,171,420,,
2011,304,172,,,,,,,,,215,329,,
2010,254,211,,,,,,,,,273,235,,
2009,368,99,,,,,,,,,,,,
