Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2018 Rome R64,L vs Krunic,45% (5/11),80% (4/5),1/6,75% (9/12),22% (2/9),1/3,0/0,0/1,0/0,0/1
2018 Budapest R32,L vs Sasnovich,11% (1/9),100% (1/1),1/3,56% (5/9),20% (1/5),0/1,0/0,0/1,0/0,0/0
2018 St. Petersburg R16,L vs Goerges,22% (2/9),50% (1/2),1/5,67% (6/9),17% (1/6),1/1,0/0,0/0,0/0,0/0
2018 St. Petersburg R32,W vs Martincova,50% (4/8),100% (4/4),0/0,25% (2/8),100% (2/2),4/4,2/2,0/0,1/1,0/0
2018 Australian Open Q1,L vs Blinkova,38% (3/8),0% (0/3),0/2,56% (5/9),20% (1/5),0/0,0/0,0/2,0/0,0/1
2017 Wuhan R64,L vs Mchale,30% (3/10),100% (3/3),1/3,60% (6/10),17% (1/6),2/3,0/0,0/2,0/0,0/1
2017 US Open R128,L vs Stephens,50% (5/10),40% (2/5),2/4,67% (6/9),17% (1/6),1/2,0/0,1/2,0/0,0/0
2017 New Haven R32,L vs Linette,25% (2/8),50% (1/2),1/4,63% (5/8),0% (0/5),0/1,0/0,1/2,0/0,1/1
2017 Cincinnati R32,L vs Sevastova,40% (4/10),75% (3/4),2/4,60% (6/10),0% (0/6),1/3,0/0,2/4,0/0,2/3
2017 Cincinnati R64,W vs Babos,42% (5/12),100% (5/5),2/3,25% (3/12),0% (0/3),3/5,2/3,2/2,1/1,0/0
2017 Toronto R64,L vs Kasatkina,33% (4/12),75% (3/4),1/3,50% (6/12),50% (3/6),2/3,0/1,2/2,0/0,0/0
2017 Wimbledon R128,L vs Pliskova,20% (2/10),50% (1/2),0/2,40% (4/10),25% (1/4),1/1,0/0,0/1,0/0,0/1
2017 Calvia QF,L vs Garcia,50% (5/10),40% (2/5),1/4,50% (5/10),20% (1/5),1/2,0/1,0/0,0/0,0/0
2017 Calvia R16,W vs Flipkens,60% (9/15),56% (5/9),1/2,27% (4/15),25% (1/4),4/5,2/2,1/2,1/1,0/0
2017 Calvia R32,W vs Errani,86% (6/7),100% (6/6),2/2,25% (2/8),0% (0/2),3/5,1/1,0/0,1/1,0/0
2017 Roland Garros R128,L vs Puig,15% (2/13),100% (2/2),1/3,38% (5/13),20% (1/5),1/2,1/1,1/2,0/0,0/1
2017 Rome R64,L vs Makarova,14% (1/7),0% (0/1),0/4,63% (5/8),0% (0/5),0/0,0/0,1/2,0/0,0/1
2017 Madrid R32,L vs Halep,40% (6/15),67% (4/6),0/3,29% (4/14),25% (1/4),2/3,0/1,0/0,0/1,0/0
2017 Madrid R64,W vs Kasatkina,40% (4/10),100% (4/4),0/2,27% (3/11),33% (1/3),4/4,2/2,0/0,1/1,0/0
2017 Stuttgart R32,L vs Sharapova,20% (2/10),50% (1/2),0/3,55% (6/11),33% (2/6),0/1,0/0,0/1,0/0,0/1
2018 (5 matches),,33.3%,66.7%,18.8%,57.4%,25.9%,66.7%,100.0%,0.0%,100.0%,0.0%
2017 (29 matches),,42.4%,67.9%,30.3%,48.2%,23.3%,61.2%,75.0%,59.0%,80.0%,55.6%
2016 (50 matches),,45.2%,74.8%,33.5%,45.4%,20.9%,68.4%,67.5%,56.5%,66.7%,56.0%
2015 (41 matches),,50.1%,75.6%,28.7%,46.3%,26.0%,67.1%,66.0%,53.7%,81.0%,64.3%
2014 (37 matches),,43.3%,76.2%,33.6%,47.7%,27.3%,65.2%,85.7%,57.6%,80.0%,50.0%
Career (305 matches),,47.3%,75.2%,33.3%,45.5%,25.2%,70.1%,73.7%,57.1%,79.5%,56.5%
