Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2018,,,96,1702,77,1698,84,1647,,,,
2017,116,558,61,1772,60,1730,59,1699,52,1651,,
2016,18,2210,30,1861,26,1832,34,1754,34,1697,182,354
2015,15,2785,31,1882,30,1837,30,1795,34,1695,60,1349
2014,47,1107,35,1857,39,1792,20,1822,29,1727,1,9585
2013,14,3170,14,1979,16,1906,13,1891,12,1810,1,8080
2012,16,2475,20,1937,20,1886,24,1811,15,1794,1,10030
2011,23,2125,27,1924,31,1841,24,1846,21,1782,26,3045
2010,38,1590,26,1938,24,1894,35,1814,26,1746,40,2115
2009,63,1036,50,1834,52,1752,44,1766,36,1707,,
2008,84,405,76,1748,70,1697,73,1664,51,1639,,
2007,73,426,74,1744,82,1662,70,1668,41,1680,,
2006,85,324,57,1786,55,1728,56,1698,,,,
2005,41,764,38,1874,48,1771,44,1764,16,1793,,
2004,116,318,94,1721,112,1626,77,1670,40,1666,,
2003,119,301,86,1746,105,1624,83,1668,46,1666,,
2002,184,173,208,1511,201,1461,192,1453,112,1520,,
2001,168,179,194,1511,188,1460,209,1405,,,,
2000,321,54,,,,,,,,,,
1999,407,30,,,,,,,,,,
1998,650,10,,,,,,,,,,
