Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Indian Wells R64,L vs Kostyuk,0.97,0.52,39.4,2.0,0.0%,33.3%,0.0%,54.5%,33.3%,27.3%
2025 Indian Wells R128,W vs Niemeier,1.04,1.19,62.0,78.4,0.0%,64.3%,8.1%,51.4%,46.3%,49.0%
2025 Auckland SF,L vs Tauson,0.98,0.68,48.4,2.0,5.6%,41.7%,9.1%,57.6%,34.5%,35.7%
2025 Auckland QF,W vs Pera,1.08,1.57,47.2,2.1,17.2%,65.5%,30.8%,76.9%,39.4%,45.2%
2025 Auckland R16,W vs Hibino,1.26,2.15,38.2,2.2,4.2%,66.7%,9.1%,77.3%,46.4%,50.0%
2025 Auckland R32,W vs Hontama,1.11,1.31,49.4,2.1,13.2%,60.5%,2.9%,51.4%,40.5%,64.1%
2024 Wimbledon R64,L vs Jabeur,1.13,0.54,54.4,2.1,6.5%,48.4%,6.7%,60.0%,24.0%,20.0%
2024 Wimbledon R128,W vs Gadecki,1.24,1.24,59.7,2.5,7.5%,62.5%,17.5%,62.5%,39.3%,35.7%
2024 Madrid R32,L vs Sabalenka,1.03,0.79,69.4,2.2,2.0%,62.0%,10.9%,54.3%,32.7%,30.6%
2024 Madrid R128,W vs Avanesyan,1.36,2.16,31.9,2.0,0.0%,67.9%,7.7%,69.2%,47.8%,52.6%
2023 US Open R128,L vs Lys,0.93,0.49,36.6,2.3,7.4%,40.7%,8.0%,52.0%,33.3%,22.7%
2022 San Diego R32,L vs Gauff,0.99,0.67,54.5,2.7,0.0%,59.4%,0.0%,45.2%,26.7%,38.5%
2020 US Open R128,L vs Putintseva,0.92,0.56,36.4,2.0,0.0%,37.5%,9.5%,33.3%,38.5%,40.0%
2019 W15 Carson CA R32,W vs Chavatipon,1.01,1.27,64.6,2.6,-,62.5%,-,57.9%,57.5%,42.5%
2025 (6 matches),,1.07,1.12,49.3,2.5,6.7%,56.0%,9.7%,60.0%,41.0%,47.2%
2024 (4 matches),,1.15,1.00,57.2,2.2,4.0%,60.4%,11.3%,60.6%,35.2%,33.1%
2023 (1 matches),,0.93,0.49,36.6,2.3,7.4%,40.7%,8.0%,52.0%,33.3%,22.7%
2022 (1 matches),,0.99,0.67,54.5,2.7,0.0%,59.4%,0.0%,45.2%,26.7%,38.5%
2020 (1 matches),,0.92,0.56,36.4,2.0,0.0%,37.5%,9.5%,33.3%,38.5%,40.0%
Career (14 matches),,1.07,0.99,52.0,2.4,4.5%,56.3%,8.6%,57.2%,39.3%,40.6%
