Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2023 US Open R64,L vs Minnen,45% (9/20),40% (4/10),1/1,0/0,55% (6/11),0/2,0/1,- (0/0),- (0/0)
2023 US Open R128,W vs Vekic,69% (11/16),44% (4/9),2/2,1/1,77% (10/13),2/3,0/0,- (0/0),- (0/0)
2019 W60 Berkeley CA SF,L vs Hibi,50% (2/4),25% (1/4),0/0,0/0,50% (6/12),1/3,0/1,- (0/0),- (0/0)
2019 W100 Bonita Springs FL R32,W vs Fernandez,75% (6/8),43% (6/14),2/2,1/1,0% (0/3),0/0,0/0,- (0/0),- (0/0)
2019 Bogota R16,L vs Zidansek,33% (2/6),0% (0/2),0/0,0/0,69% (11/16),1/3,1/2,- (0/0),- (0/0)
2019 Bogota R32,W vs Kuwata,42% (5/12),100% (7/7),2/2,1/1,50% (4/8),0/0,0/0,- (0/0),- (0/0)
2019 Monterrey QF,L vs Rybarikova,89% (8/9),0% (0/4),0/0,0/0,60% (3/5),6/8,1/2,- (0/0),- (0/0)
2019 Monterrey R16,W vs Hibino,53% (9/17),35% (9/26),2/5,1/4,50% (9/18),0/1,0/0,50% (3/6),67% (4/6)
2019 Monterrey R32,W vs Riske Amritraj,50% (5/10),54% (7/13),2/6,1/4,33% (2/6),3/3,0/0,43% (3/7),71% (5/7)
2019 Miami R128,L vs Wickmayer,47% (8/17),50% (2/4),1/1,0/0,38% (3/8),3/5,0/1,- (0/0),- (0/0)
2019 Indian Wells R128,L vs Voegele,33% (3/9),67% (4/6),0/1,0/0,46% (6/13),0/2,0/1,- (0/0),- (0/0)
2019 Indian Wells 125K R32,L vs Townsend,75% (6/8),100% (1/1),0/0,0/0,50% (4/8),0/2,0/1,- (0/0),- (0/0)
2019 Indian Wells 125K R64,W vs Glushko,78% (7/9),71% (5/7),2/2,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2019 Australian Open R64,L vs Collins,100% (6/6),67% (2/3),0/0,0/0,33% (2/6),3/5,2/3,- (0/0),- (0/0)
2019 Australian Open R128,W vs Bonaventure,69% (9/13),56% (5/9),2/2,1/1,38% (3/8),0/1,0/0,- (0/0),- (0/0)
2019 Auckland R32,L vs Flipkens,67% (4/6),0% (0/1),0/0,0/0,56% (5/9),5/7,4/5,- (0/0),- (0/0)
2018 Chicago QF,W vs Blinkova,73% (8/11),83% (5/6),2/2,1/1,70% (7/10),0/0,0/0,- (0/0),- (0/0)
2018 Chicago R16,W vs Kiick,60% (6/10),75% (6/8),2/4,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2018 Chicago R32,W vs Jabeur,53% (10/19),75% (6/8),2/2,1/1,50% (5/10),0/1,0/0,- (0/0),- (0/0)
2018 US Open R128,L vs Svitolina,50% (7/14),33% (3/9),1/1,0/0,43% (3/7),1/3,0/1,- (0/0),- (0/0)
2023 (2 matches),,55.6%,42.1%,100.0%,100.0%,66.7%,40.0%,0.0%,-,-
2019 (14 matches),,59.7%,48.5%,61.9%,50.0%,48.4%,55.0%,50.0%,46.2%,69.2%
2018 (28 matches),,54.4%,51.6%,54.7%,60.9%,56.3%,30.2%,33.3%,80.0%,75.0%
2017 (23 matches),,51.7%,48.6%,47.1%,37.8%,54.3%,46.7%,55.0%,34.1%,62.5%
2016 (35 matches),,52.8%,52.0%,53.5%,60.6%,60.8%,45.8%,60.5%,52.2%,56.3%
Career (143 matches),,54.1%,49.3%,53.2%,52.6%,54.2%,44.0%,48.6%,46.6%,59.8%
