Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2021 Madrid R32,L vs Halep,8.9%,10.7%,34.0%,10.0%,12.5%,41.7%,21.1%,85.7%,100.0%,6.7%,6.7%,14.3%,20.0%,100.0%,100.0%,-47
2020 Doha QF,L vs Sabalenka,12.9%,20.4%,50.6%,13.3%,22.7%,50.8%,61.8%,34.1%,25.0%,12.5%,12.5%,50.0%,0.0%,75.0%,100.0%,9
2020 Doha R16,W vs Bertens,19.8%,23.5%,44.3%,25.8%,30.6%,50.0%,36.4%,58.6%,66.7%,0.0%,0.0%,26.7%,20.0%,60.0%,100.0%,-119
2019 Zhuhai SF,L vs Bertens,16.4%,19.2%,47.5%,22.2%,26.7%,54.3%,43.5%,50.0%,100.0%,7.7%,7.7%,37.5%,0.0%,78.6%,100.0%,-36
2019 Beijing R16,L vs Barty,19.4%,25.0%,53.7%,26.6%,32.8%,53.2%,34.2%,30.8%,42.9%,10.3%,15.4%,54.3%,0.0%,37.0%,50.0%,-14
2019 Zhengzhou R32,W vs Schoofs,13.9%,20.8%,60.0%,18.2%,25.0%,52.8%,66.7%,39.1%,20.0%,7.7%,15.4%,70.8%,10.0%,56.3%,-,-36
2019 Cincinnati R16,L vs Sabalenka,18.2%,27.3%,47.7%,22.9%,28.6%,48.1%,66.7%,47.1%,0.0%,10.5%,26.3%,47.1%,14.3%,100.0%,100.0%,-43
2019 San Jose F,W vs Sabalenka,24.6%,30.4%,59.6%,30.0%,38.0%,60.0%,72.7%,32.1%,33.3%,14.3%,14.3%,58.3%,0.0%,50.0%,-,2
2019 Wimbledon R128,L vs Barty,13.3%,18.3%,44.9%,16.3%,20.9%,44.4%,10.0%,65.2%,33.3%,7.1%,14.3%,46.2%,0.0%,57.1%,0.0%,-51
2019 Strasbourg R32,W vs Tan,12.3%,18.5%,54.4%,12.5%,16.1%,49.0%,59.1%,52.9%,75.0%,13.6%,27.3%,68.4%,20.0%,75.0%,100.0%,19
2019 Acapulco QF,L vs Andreescu,17.4%,21.7%,49.1%,27.3%,30.3%,45.8%,61.5%,40.0%,66.7%,9.4%,15.6%,51.7%,13.3%,41.2%,0.0%,-23
2018 Nanchang F,L vs Wang,21.6%,25.5%,41.0%,22.2%,25.0%,46.4%,68.8%,50.0%,50.0%,21.4%,28.6%,27.3%,0.0%,50.0%,100.0%,-23
2018 Wimbledon R64,L vs Halep,3.4%,5.2%,41.5%,5.0%,7.5%,42.1%,72.7%,44.4%,50.0%,0.0%,0.0%,40.0%,25.0%,54.5%,100.0%,-119
2018 Anning F,L vs Khromacheva,19.2%,22.2%,41.6%,17.9%,20.9%,36.4%,51.7%,52.6%,42.9%,24.1%,27.6%,54.5%,76.9%,18.8%,50.0%,9
2018 Zhengzhou F,W vs Wang,14.3%,21.4%,50.0%,14.9%,22.4%,52.6%,48.4%,66.7%,42.9%,13.3%,20.0%,38.5%,0.0%,62.5%,100.0%,17
2017 ITF Quanzhou R16,W vs Raina,11.8%,25.5%,57.1%,24.0%,40.0%,52.6%,60.0%,26.7%,50.0%,0.0%,13.0%,60.9%,8.3%,81.8%,100.0%,-119
2017 ITF Zhuhai R32,W vs Sabalenka,27.5%,37.7%,37.0%,35.1%,51.4%,50.0%,26.3%,22.2%,50.0%,21.4%,25.0%,22.7%,18.2%,64.7%,83.3%,47
2016 US Open R128,W vs Puig,36.4%,38.2%,48.6%,50.0%,52.9%,47.1%,81.3%,55.6%,0.0%,14.3%,14.3%,50.0%,11.1%,41.7%,50.0%,-104
2016 Nottingham QF,W vs Moore,19.7%,26.2%,66.0%,21.6%,29.7%,65.5%,23.5%,30.0%,33.3%,18.2%,22.7%,66.7%,11.1%,46.2%,0.0%,-3
2016 Doha QF,L vs Ostapenko,10.3%,10.3%,42.0%,13.3%,13.3%,40.4%,64.5%,34.5%,22.2%,0.0%,0.0%,47.1%,50.0%,72.7%,83.3%,-119
Career (24 matches),,16.8%,21.8%,48.2%,20.0%,25.5%,48.0%,49.8%,44.6%,42.9%,11.9%,16.3%,48.7%,17.6%,55.8%,70.5%,3
