Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
13,Lamis Alhussein Abdel Aziz [EGY],10,3,76.9%,6,4,2,66.7%,2018,2026,4,1.02,2.7%,8.2%,49.9%,62.6%,43.0%,52.8%,48.0%,44.2%,58.0%
5,Isabella Shinikova [BUL],0,5,0.0%,2,0,2,0.0%,2015,2025,2,0.90,1.1%,3.4%,53.4%,57.0%,40.7%,49.4%,45.5%,60.0%,40.9%
5,Katarina Kuzmova [SVK],3,2,60.0%,1,1,0,100.0%,2023,2025,1,2.40,0.0%,16.7%,50.0%,66.7%,66.7%,66.7%,80.0%,0,100.0%
5,Dasha Ivanova [USA],5,0,100.0%,0,0,0,-,2018,2024,0,,,,,,,,,,
5,Elena Teodora Cadar [ROU],4,1,80.0%,1,0,1,0.0%,2017,2023,0,,,,,,,,,,
5,Chantal Skamlova [SVK],1,4,20.0%,1,0,1,0.0%,2016,2021,0,,,,,,,,,,
4,Yasmin Ezzat [EGY],4,0,100.0%,1,0,1,0.0%,2021,2025,1,1.53,5.3%,12.3%,50.9%,79.3%,39.3%,59.6%,61.7%,71.4%,85.7%
4,Daria Khomutsianskaya [BLR],2,2,50.0%,2,1,1,50.0%,2024,2025,3,1.00,3.2%,5.6%,56.9%,57.4%,42.1%,50.8%,49.1%,46.9%,33.3%
4,Arlinda Rushiti [SUI],2,2,50.0%,0,0,0,-,2024,2025,1,1.04,4.7%,3.5%,49.4%,69.0%,48.8%,58.8%,42.9%,71.4%,50.0%
4,Victoria Muntean [FRA],3,1,75.0%,0,0,0,-,2015,2024,0,,,,,,,,,,
4,Alisa Kummel [RUS],4,0,100.0%,0,0,0,-,2022,2024,0,,,,,,,,,,
4,Lesley Pattinama Kerkhove [NED],0,4,0.0%,2,0,2,0.0%,2020,2023,0,,,,,,,,,,
4,Bojana Marinkovic [SRB],3,1,75.0%,1,1,0,100.0%,2016,2021,0,,,,,,,,,,
4,Emilie Lindh Gallagher [GBR],2,2,50.0%,2,1,1,50.0%,2020,2021,0,,,,,,,,,,
4,Anastasia Sukhotina [RUS],4,0,100.0%,1,1,0,100.0%,2021,2021,0,,,,,,,,,,
