Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),557,88,450,1269,430,1234,381,1275,,,1467,14,,
2025,577,81,416,1312,413,1283,363,1297,,,,
2024,291,222,293,1438,309,1380,265,1397,,,,
2023,462,120,,,,,,,,,,
2022,553,65,,,,,,,,,,
2021,477,101,,,,,,,,,,
2020,422,110,,,,,,,,,458,148
2019,429,98,,,,,,,,,475,121
2018,396,83,,,,,,,,,580,46
2017,403,93,,,,,,,,,321,185
2016,502,59,,,,,,,,,764,33
2015,1039,8,,,,,,,,,,
