Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
26-May-2025,Roland Garros,Clay,Q2,176,285,(PR) Anna Lena Friedsam [GER] d. Errani,1-6 6-0 7-6(7),0.95,0.0%,3.6%,88.0%,58.9%,40.0%,5/9,
26-May-2025,Roland Garros,Clay,Q1,176,128,Errani d. (19) Jule Niemeier [GER],0-6 7-6(4) 6-2,0.95,0.0%,1.2%,82.6%,54.9%,46.7%,3/9,
06-May-2025,Rome,Clay,R128,177,48,Naomi Osaka [JPN] d. (WC) Errani,6-2 6-3,0.62,0.0%,3.1%,81.5%,49.1%,33.3%,3/8,1:19
22-Apr-2025,Madrid,Clay,Q1,154,78,(4) Maya Joint [AUS] d. Errani,6-4 2-6 6-2,0.92,0.0%,0.0%,68.4%,59.3%,40.0%,6/12,1:55
14-Apr-2025,Stuttgart,Clay,R32,152,28,Magdalena Frech [POL] d. (LL) Errani,7-5 4-6 7-6(5),0.97,0.0%,0.8%,82.5%,57.6%,61.9%,8/13,3:12
14-Apr-2025,Stuttgart,Clay,Q2,152,51,(2) Veronika Kudermetova [RUS] d. (8) Errani,6-1 6-2,0.42,0.0%,1.8%,75.4%,44.2%,28.6%,7/13,1:01
14-Apr-2025,Stuttgart,Clay,Q1,152,325,(8) Errani d. (WC) Nastasja Schunk [GER],2-6 6-4 6-3,1.07,1.2%,2.4%,61.4%,70.6%,50.0%,5/9,2:05
18-Mar-2025,Miami,Hard,Q1,124,80,(10) Maya Joint [AUS] d. Errani,7-6(6) 7-6(4),0.92,1.1%,2.2%,79.1%,54.2%,31.6%,6/12,2:02
05-Mar-2025,Indian Wells,Hard,Q1,118,96,(13) Cristina Bucsa [ESP] d. Errani,6-3 6-4,0.75,0.0%,0.0%,75.0%,33.3%,43.8%,5/13,1:25
09-Feb-2025,Doha,Hard,Q1,117,52,(1) Veronika Kudermetova [RUS] d. Errani,6-4 6-1,0.75,0.0%,1.3%,68.4%,46.2%,45.8%,11/17,1:24
13-Jan-2025,Australian Open,Hard,Q2,107,196,Brenda Fruhvirtova [CZE] d. (4) Errani,6-0 6-2,0.58,0.0%,2.4%,73.8%,38.7%,18.2%,5/11,1:00
13-Jan-2025,Australian Open,Hard,Q1,107,177,(4) Errani d. Alina Korneeva [RUS],2-6 6-3 6-3,1.08,0.0%,1.4%,72.6%,54.7%,65.0%,3/8,1:53
21-Oct-2024,W100 Les Franqueses del Valles (Barcelona),Hard,R16,91,215,Kristina Mladenovic [FRA] d. (1) Errani,6-4 7-6(5),,,,,,,,
21-Oct-2024,W100 Les Franqueses del Valles (Barcelona),Hard,R32,91,602,(1) Errani d. (WC) Ekaterina Reyngold [RUS],6-3 5-7 6-0,,,,,,,,
14-Oct-2024,Ningbo,Hard,R32,90,35,Katie Boulter [GBR] d. (Q) Errani,6-3 6-2,0.64,0.0%,2.2%,71.7%,45.5%,30.8%,3/9,1:13
14-Oct-2024,Ningbo,Hard,Q2,90,261,(6) Errani d. Ye Xin Ma [CHN],6-0 4-6 6-4,1.32,0.0%,3.0%,85.1%,59.6%,40.0%,2/7,1:49
14-Oct-2024,Ningbo,Hard,Q1,90,168,(6) Errani d. Xinyu Gao [CHN],7-5 6-1,1.27,0.0%,1.5%,77.3%,60.8%,33.3%,2/5,1:35
