Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,12,4,8,33.3%,2,1,1,50.0%,2016,2025,R64,10,0.88,0.7%,5.7%,70.1%,55.3%,39.1%,50.5%,43.4%,48.5%,48.8%
Roland Garros,9,Clay,16,7,9,43.8%,3,2,1,66.7%,2015,2024,R16,10,0.89,0.8%,7.7%,64.7%,52.2%,33.5%,45.6%,48.3%,44.4%,63.5%
Wimbledon,9,Grass,17,8,9,47.1%,4,3,1,75.0%,2015,2024,R64,11,0.93,0.4%,6.0%,61.8%,58.8%,42.3%,52.5%,44.0%,52.6%,41.2%
US Open,9,Hard,16,7,9,43.8%,1,1,0,100.0%,2016,2024,R32,13,0.87,0.5%,7.1%,65.7%,53.0%,37.9%,47.8%,45.4%,45.1%,46.9%
Olympics,2,,4,2,2,50.0%,1,0,1,0.0%,2021,2024,R16,1,0.85,0.0%,1.9%,77.7%,55.0%,47.8%,53.4%,39.8%,62.5%,44.4%
Fed Cup,4,,5,2,3,40.0%,1,1,0,100.0%,2015,2020,,4,0.88,0.0%,7.2%,70.9%,54.5%,34.2%,48.6%,45.4%,51.4%,54.5%
Cluj-Napoca,2,Hard,5,3,2,60.0%,1,0,1,0.0%,2025,2026,R16,5,1.08,1.5%,1.5%,69.4%,57.2%,43.3%,52.9%,51.1%,45.2%,60.0%
Bogota,7,Clay,16,9,7,56.3%,3,3,0,100.0%,2017,2025,SF,16,0.99,0.3%,12.7%,62.7%,57.7%,34.9%,49.2%,50.5%,50.3%,56.8%
Miami,7,Hard,14,7,7,50.0%,3,0,3,0.0%,2017,2025,QF,14,0.97,0.4%,4.6%,71.6%,55.5%,45.2%,52.6%,45.8%,55.1%,46.2%
Indian Wells,7,Hard,15,8,7,53.3%,2,0,2,0.0%,2017,2025,R32,15,1.01,0.2%,5.8%,69.5%,57.6%,40.8%,52.5%,47.8%,47.6%,42.9%
Linz,3,Hard,10,7,3,70.0%,2,2,0,100.0%,2016,2025,R16,10,1.06,1.1%,8.0%,66.5%,61.8%,40.4%,54.6%,48.0%,42.5%,51.6%
Brisbane,2,Hard,3,1,2,33.3%,1,1,0,100.0%,2016,2024,Q2,3,0.89,0.5%,5.5%,67.1%,51.0%,43.1%,48.4%,46.1%,60.0%,63.2%
