Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 W25 Las Palmas de Gran Canaria QF,L vs Ibbou,50% (4/8),25% (1/4),1/4,71% (5/7),0% (0/5),0/1,0/0,1/2,0/0,1/1
2019 W25 Las Palmas de Gran Canaria R32,W vs Hoste Ferrer,86% (6/7),100% (6/6),0/0,0% (0/6),- (0/0),5/5,1/1,0/0,0/0,0/0
2019 W25 Palmela R16,L vs Terziyska,38% (3/8),67% (2/3),1/6,100% (7/7),0% (0/7),0/2,0/0,0/1,0/0,0/1
2019 W25 Tarvisio R32,L vs Colmegna,45% (5/11),100% (5/5),2/5,67% (8/12),0% (0/8),1/4,0/1,0/2,0/0,0/1
2019 W25 Tunis R32,L vs Hogenkamp,50% (4/8),50% (2/4),1/5,75% (6/8),0% (0/6),0/2,0/0,1/2,0/0,0/0
2019 W25 Canberra R16,L vs Hozumi,36% (4/11),75% (3/4),2/6,64% (7/11),0% (0/7),2/3,1/1,0/1,0/0,0/0
2019 W25 Canberra R32,W vs Myers,44% (7/16),57% (4/7),1/4,53% (8/15),50% (4/8),4/4,1/1,1/1,0/0,1/1
2019 W60 Shenzhen QF,L vs Kuwata,77% (10/13),50% (5/10),2/7,67% (8/12),13% (1/8),1/4,0/1,0/0,0/0,0/0
2019 W60 Shenzhen R32,W vs Ma,64% (7/11),71% (5/7),0/1,20% (2/10),0% (0/2),3/4,1/1,1/1,0/0,0/0
2019 W25 Petit Bourg Guadeloupe R32,L vs Le Bihan,44% (4/9),25% (1/4),0/3,44% (4/9),0% (0/4),0/1,0/0,1/2,0/0,0/1
2017 Shrewsbury $25K R32,L vs Zimmermann,58% (7/12),86% (6/7),4/6,58% (7/12),0% (0/7),3/6,0/1,1/2,0/0,1/2
2017 Saguenay $60K R32,L vs Arn,13% (1/8),0% (0/1),0/4,71% (5/7),20% (1/5),0/0,0/0,1/1,0/0,0/0
2017 Sumter SC $25K R16,L vs Townsend,22% (2/9),100% (2/2),1/4,56% (5/9),0% (0/5),1/2,0/0,0/1,0/0,0/1
2017 Sumter SC $25K R32,W vs Simmonds,86% (6/7),100% (6/6),0/0,0% (0/6),- (0/0),4/4,0/0,0/0,0/0,0/0
2017 Tsukuba $25K R32,L vs Zhang,30% (3/10),67% (2/3),1/3,50% (5/10),0% (0/5),1/2,0/1,0/2,0/0,0/1
2017 Granby $60K R32,W vs Stollar,53% (9/17),67% (6/9),1/5,41% (7/17),29% (2/7),3/6,1/2,2/2,1/1,0/0
2017 Gatineau $25K SF,L vs Perez,40% (4/10),100% (4/4),1/4,60% (6/10),0% (0/6),0/4,0/0,1/3,0/0,1/2
2017 Gatineau $25K QF,W vs Murray,63% (5/8),100% (5/5),1/1,13% (1/8),0% (0/1),4/5,2/2,0/0,1/1,0/0
2017 Gatineau $25K R16,W vs Branstine,53% (8/15),63% (5/8),2/4,38% (6/16),0% (0/6),1/5,1/2,1/2,1/1,0/0
2017 Winnipeg $25K R32,L vs Kuwata,38% (3/8),100% (3/3),2/7,100% (7/7),0% (0/7),0/3,0/0,0/0,0/0,0/0
2019 (10 matches),,52.9%,63.0%,24.4%,56.7%,9.1%,53.3%,66.7%,41.7%,-,40.0%
2017 (44 matches),,56.9%,82.5%,39.0%,41.1%,21.1%,69.1%,70.8%,38.9%,65.2%,33.3%
2016 (23 matches),,64.4%,84.6%,40.5%,34.0%,39.7%,84.9%,100.0%,63.6%,100.0%,33.3%
2015 (5 matches),,25.5%,64.3%,15.4%,37.0%,25.0%,62.5%,50.0%,87.5%,-,100.0%
2014 (1 matches),,42.9%,100.0%,60.0%,53.8%,14.3%,50.0%,100.0%,0.0%,-,-
Career (88 matches),,55.3%,80.3%,35.7%,41.4%,22.5%,71.4%,76.7%,47.9%,74.4%,42.9%
