Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 US Open R128,L vs Pegula,64.9%,52.1%,6.8%,4/1,2.43,10.8%,61.4%,40.7%,9.1%,2.53,16.7%,77.8%,66.7%,3.7%,2.34,5.3%
2024 Australian Open R128,L vs Raducanu,56.6%,33.3%,5.7%,1/2,2.27,2.8%,60.6%,15.0%,0.0%,2.07,0.0%,58.8%,70.0%,17.6%,2.63,7.7%
2023 Roland Garros R128,L vs Martic,81.5%,48.5%,2.5%,1/1,2.38,6.3%,76.1%,40.0%,0.0%,2.26,7.3%,88.6%,58.1%,5.7%,2.59,4.5%
2023 Miami R64,L vs Sabalenka,64.0%,37.5%,8.0%,1/3,2.54,12.1%,51.7%,26.7%,0.0%,2.26,23.5%,89.5%,47.1%,21.1%,2.83,0.0%
2023 Miami R128,W vs Stephens,68.8%,47.2%,7.8%,3/3,2.58,4.3%,71.7%,47.4%,7.5%,2.46,6.3%,62.5%,46.7%,8.3%,2.85,0.0%
2023 Indian Wells R128,W vs Volynets,72.4%,56.3%,9.2%,6/3,2.45,10.0%,71.6%,58.3%,9.0%,2.51,18.9%,95.8%,52.2%,12.5%,2.39,0.0%
2023 Australian Open R64,L vs Sabalenka,59.2%,51.7%,22.4%,3/8,2.55,5.8%,51.6%,50.0%,6.5%,2.32,4.0%,72.2%,53.8%,50.0%,2.77,7.4%
2022 Cincinnati R16,L vs Sabalenka,66.4%,49.3%,10.3%,5/6,2.60,4.1%,63.5%,42.5%,7.9%,2.42,7.7%,81.6%,58.1%,15.8%,2.81,0.0%
2022 San Jose F,L vs Kasatkina,74.0%,38.0%,0.0%,0/0,2.49,6.0%,78.7%,29.2%,0.0%,2.34,8.2%,88.5%,56.5%,0.0%,2.91,0.0%
2022 San Jose R32,W vs Andreescu,72.3%,48.9%,6.2%,1/3,2.30,33.3%,80.0%,42.9%,2.9%,2.28,44.0%,76.0%,57.9%,12.0%,2.35,9.1%
2022 s Hertogenbosch SF,L vs Sabalenka,59.5%,56.8%,5.4%,3/1,2.72,9.5%,57.1%,58.3%,4.8%,2.61,13.3%,71.4%,55.0%,7.1%,2.99,0.0%
2021 Chicago R32,W vs Andreescu,68.1%,51.0%,13.9%,8/2,2.73,3.7%,68.2%,43.3%,4.5%,2.55,6.9%,79.2%,63.2%,33.3%,2.94,0.0%
2021 US Open R16,L vs Raducanu,68.2%,53.3%,3.0%,2/0,2.56,3.1%,68.0%,52.9%,2.0%,2.44,4.0%,78.6%,54.5%,7.1%,2.97,0.0%
2021 US Open R32,W vs Barty,67.0%,42.6%,2.2%,2/0,2.31,50.0%,65.4%,38.2%,1.9%,2.30,45.0%,87.1%,48.1%,3.2%,2.33,57.7%
2021 Eastbourne R32,W vs Bertens,63.6%,68.6%,9.1%,3/2,2.30,31.8%,64.5%,75.0%,9.7%,2.24,37.5%,78.9%,60.0%,10.5%,2.48,16.7%
2021 Berlin R32,L vs Rybakina,64.8%,47.4%,5.7%,3/2,2.61,4.3%,61.5%,34.4%,5.8%,2.46,7.1%,75.8%,64.0%,6.1%,2.84,0.0%
2021 Roland Garros R128,L vs Peterson,77.2%,54.1%,2.4%,2/1,2.34,1.3%,80.2%,52.3%,2.5%,2.33,1.9%,82.5%,57.6%,2.5%,2.36,0.0%
2021 Charleston 2 QF,L vs Kovinic,66.0%,45.5%,0.0%,0/0,2.45,2.6%,56.7%,47.1%,0.0%,2.32,7.1%,80.0%,43.8%,0.0%,2.52,0.0%
2020 US Open QF,L vs Osaka,58.8%,36.7%,3.9%,2/0,2.58,0.0%,37.5%,44.4%,8.3%,2.52,0.0%,80.8%,33.3%,0.0%,2.67,0.0%
2020 US Open R16,W vs Kvitova,63.7%,40.0%,6.9%,3/4,2.79,4.8%,64.2%,39.5%,4.5%,2.77,5.1%,78.6%,40.9%,14.3%,2.83,4.0%
Last 52 Weeks (1 matches),,64.9%,52.1%,6.8%,80.0%,2.43,10.8%,61.4%,40.7%,9.1%,2.53,16.7%,77.8%,66.7%,3.7%,2.34,5.3%
Career (34 matches),,68.0%,50.5%,5.7%,51.1%,2.47,8.9%,66.8%,47.1%,3.8%,2.38,12.0%,81.0%,55.7%,10.1%,2.59,4.1%
