Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Hong Kong R32,L vs Yuan,81.5%,40.9%,9.3%,5/0,2.65,2.0%,83.8%,32.3%,0.0%,2.63,3.3%,81.3%,61.5%,31.3%,2.68,0.0%
2024 Miami R128,L vs Badosa,65.9%,50.0%,11.0%,5/4,2.72,6.2%,65.3%,34.4%,6.1%,2.65,9.1%,81.5%,72.7%,22.2%,2.88,0.0%
2022 US Open R128,L vs Snigur,87.5%,50.8%,2.8%,2/0,2.42,1.7%,91.5%,46.5%,4.3%,2.51,2.5%,90.9%,60.0%,0.0%,2.22,0.0%
2022 Cincinnati R64,W vs Potapova,75.5%,51.9%,9.8%,8/2,2.66,0.0%,83.6%,50.0%,1.8%,2.59,0.0%,86.1%,54.8%,25.0%,2.78,0.0%
2022 Toronto F,W vs Haddad Maia,84.3%,50.0%,2.4%,0/2,2.74,1.7%,87.0%,45.0%,4.3%,2.72,2.3%,85.7%,56.7%,0.0%,2.78,0.0%
2022 Toronto SF,W vs Pegula,84.7%,54.2%,7.1%,6/0,2.60,4.1%,85.5%,55.3%,7.3%,2.54,5.9%,89.3%,52.0%,7.1%,2.73,0.0%
2022 Toronto QF,W vs Gauff,73.4%,63.8%,8.9%,6/1,2.46,3.4%,76.5%,69.2%,5.9%,2.37,5.4%,82.6%,52.6%,17.4%,2.62,0.0%
2022 Toronto R16,W vs Teichmann,74.3%,55.8%,0.0%,0/0,2.51,7.3%,77.6%,52.6%,0.0%,2.38,9.7%,82.4%,64.3%,0.0%,2.92,0.0%
2022 Toronto R32,W vs Zhang,72.4%,59.5%,3.4%,2/0,2.59,0.0%,81.8%,63.0%,3.0%,2.51,0.0%,78.9%,53.3%,5.3%,2.71,0.0%
2022 Toronto R64,W vs Vekic,82.4%,64.3%,3.9%,1/1,2.68,0.0%,86.2%,56.0%,3.4%,2.59,0.0%,94.4%,76.5%,5.6%,2.83,0.0%
2022 Washington R32,W vs Bucsa,84.5%,63.3%,3.4%,1/1,2.42,7.9%,86.0%,59.5%,2.3%,2.43,20.0%,80.0%,75.0%,6.7%,2.42,0.0%
2022 Wimbledon SF,L vs Rybakina,60.4%,55.2%,6.3%,1/2,2.61,6.0%,42.4%,64.3%,6.1%,2.44,11.1%,100.0%,46.7%,6.7%,2.80,0.0%
2022 Wimbledon QF,W vs Anisimova,81.6%,52.5%,8.2%,4/0,2.79,8.6%,81.1%,50.0%,5.4%,2.67,15.0%,90.9%,60.0%,18.2%,2.95,0.0%
2022 Wimbledon R16,W vs Badosa,83.6%,63.0%,0.0%,0/0,2.78,4.0%,82.9%,64.7%,0.0%,2.76,11.1%,92.3%,58.3%,0.0%,2.79,0.0%
2022 Wimbledon R32,W vs Frech,79.6%,69.8%,1.9%,1/0,2.51,44.4%,73.5%,68.0%,2.9%,2.74,63.2%,90.0%,72.2%,0.0%,1.96,0.0%
2022 Wimbledon R64,W vs Flipkens,82.1%,58.2%,6.0%,4/0,2.29,37.0%,86.7%,53.8%,4.4%,2.22,53.6%,80.0%,68.8%,10.0%,2.40,11.1%
2022 Wimbledon R128,W vs Muchova,66.7%,66.7%,1.9%,1/0,2.77,23.1%,68.4%,61.5%,0.0%,2.48,35.3%,76.9%,80.0%,7.7%,3.32,0.0%
2022 Bad Homburg QF,W vs Anisimova,68.2%,70.0%,2.3%,1/0,2.61,5.6%,82.6%,57.9%,0.0%,2.68,9.1%,64.7%,90.9%,5.9%,2.49,0.0%
2022 Bad Homburg R16,W vs Zidansek,77.6%,64.4%,1.7%,1/0,2.67,15.4%,79.5%,58.1%,0.0%,2.78,28.6%,87.5%,78.6%,6.3%,2.54,0.0%
2022 Bad Homburg R32,W vs Siniakova,80.2%,56.8%,8.9%,4/5,2.47,31.3%,81.7%,63.3%,3.3%,2.28,48.7%,91.4%,46.9%,20.0%,2.72,7.1%
Last 52 Weeks (1 matches),,81.5%,40.9%,9.3%,100.0%,2.65,2.0%,83.8%,32.3%,0.0%,2.63,3.3%,81.3%,61.5%,31.3%,2.68,0.0%
Career (476 matches),,77.4%,56.3%,5.1%,65.5%,2.59,7.3%,77.9%,53.6%,3.3%,2.57,10.0%,87.9%,60.8%,9.3%,2.65,1.7%
