Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 Wimbledon R128,W vs Jacquemot,11.4%,20.5%,61.5%,10.8%,21.6%,57.6%,60.0%,40.9%,0.0%,14.3%,14.3%,83.3%,0.0%,100.0%,-,-104
2024 Rouen F,W vs Linette,18.3%,24.4%,50.8%,19.4%,26.9%,55.6%,62.1%,44.7%,50.0%,15.4%,15.4%,27.3%,42.9%,33.3%,0.0%,35
2024 Rouen R32,W vs Stearns,25.4%,29.9%,40.0%,26.5%,32.7%,36.1%,52.0%,66.7%,75.0%,22.2%,22.2%,50.0%,0.0%,84.6%,100.0%,-104
2024 Dubai R32,L vs Swiatek,8.8%,15.0%,45.7%,10.3%,17.2%,46.2%,61.5%,34.4%,30.0%,5.3%,10.5%,44.4%,7.7%,83.3%,-,-66
2024 Australian Open R32,L vs Kalinskaya,14.5%,29.1%,51.6%,14.6%,31.7%,57.1%,75.7%,46.7%,16.7%,14.8%,22.2%,34.8%,66.7%,80.0%,80.0%,-61
2023 Montreal R16,L vs Rybakina,27.5%,31.4%,32.4%,27.6%,31.0%,42.9%,75.0%,23.1%,0.0%,31.6%,36.8%,15.4%,14.3%,83.3%,66.7%,61
2023 Roland Garros R16,L vs Sabalenka,14.8%,18.5%,48.5%,16.9%,21.5%,50.0%,36.0%,67.5%,75.0%,6.7%,6.7%,42.9%,0.0%,100.0%,100.0%,-47
2023 Roland Garros R32,W vs Putintseva,10.8%,17.1%,47.9%,11.8%,20.0%,49.3%,70.7%,65.9%,62.5%,8.7%,8.7%,42.9%,16.7%,81.8%,100.0%,-30
2023 Roland Garros R64,W vs Gracheva,31.3%,47.9%,54.5%,28.6%,45.7%,64.0%,56.3%,47.4%,0.0%,38.5%,53.8%,25.0%,33.3%,71.4%,0.0%,-104
2023 Roland Garros R128,W vs Pliskova,18.0%,24.6%,54.0%,24.4%,31.7%,64.5%,25.0%,57.1%,66.7%,5.0%,10.0%,36.8%,30.0%,80.0%,100.0%,-104
2023 Miami R128,L vs Rogers,31.2%,41.6%,52.8%,28.3%,37.7%,52.6%,69.6%,23.3%,0.0%,37.5%,50.0%,53.3%,9.1%,46.2%,0.0%,-104
2022 Guadalajara R64,W vs Fruhvirtova,30.0%,42.5%,69.2%,35.5%,51.6%,70.0%,50.0%,52.9%,0.0%,14.3%,14.3%,66.7%,0.0%,80.0%,-,25
2022 San Diego R16,L vs Sabalenka,16.7%,23.6%,43.9%,14.0%,20.9%,37.8%,47.4%,45.8%,42.9%,23.1%,30.8%,55.0%,14.3%,83.3%,100.0%,21
2022 US Open R64,L vs Swiatek,20.8%,24.5%,43.6%,20.6%,26.5%,44.4%,52.9%,29.4%,50.0%,25.0%,25.0%,41.7%,0.0%,71.4%,50.0%,87
2022 Cincinnati R16,L vs Swiatek,17.9%,20.9%,37.7%,22.0%,26.0%,43.6%,15.4%,41.7%,75.0%,6.7%,6.7%,21.4%,0.0%,55.6%,50.0%,-51
2022 Roland Garros QF,L vs Gauff,7.4%,11.1%,42.9%,9.8%,14.6%,51.4%,76.2%,40.0%,20.0%,0.0%,0.0%,16.7%,0.0%,60.0%,0.0%,-119
2022 Strasbourg R32,L vs Berberovic,23.7%,27.8%,43.1%,21.9%,26.0%,47.4%,36.8%,31.4%,37.5%,31.8%,36.4%,26.7%,0.0%,40.0%,100.0%,-3
2022 Indian Wells R128,L vs Osaka,17.7%,22.8%,32.8%,14.3%,20.6%,33.3%,40.0%,39.4%,20.0%,41.7%,41.7%,28.6%,0.0%,0.0%,0.0%,197
2022 Guadalajara F,W vs Bouzkova,19.0%,28.6%,52.9%,16.7%,24.2%,52.7%,48.6%,58.1%,60.0%,27.8%,44.4%,53.8%,20.0%,69.2%,100.0%,-104
2022 Guadalajara R32,W vs Fruhvirtova,23.9%,43.5%,72.7%,22.9%,45.7%,81.5%,57.1%,33.3%,50.0%,33.3%,44.4%,33.3%,20.0%,25.0%,-,115
Career (80 matches),,18.4%,26.0%,47.3%,20.2%,29.2%,49.8%,49.5%,36.3%,29.9%,15.7%,20.5%,41.1%,15.6%,56.6%,58.8%,7
