Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Australian Open R128,L vs Potapova,0.98,0.84,54.4,76.6,2.0%,48.0%,2.1%,45.8%,53.2%,37.8%
2026 United Cup RR,L vs Swiatek,1.05,0.50,42.2,2.1,0.0%,50.0%,0.0%,59.1%,20.8%,22.7%
2025 US Open R128,W vs Glozman,1.19,1.62,34.3,2.2,5.9%,64.7%,0.0%,51.6%,64.5%,48.1%
2025 Wimbledon R128,W vs Jovic,0.96,1.84,41.8,2.3,4.0%,68.0%,4.5%,72.7%,68.0%,45.5%
2025 Madrid R128,L vs Raducanu,0.86,0.80,66.0,2.6,4.9%,61.0%,0.0%,51.3%,47.5%,32.4%
2025 Rouen SF,L vs Danilovic,0.85,0.72,55.2,2.2,3.1%,53.1%,3.4%,62.1%,35.5%,36.7%
2025 Rouen R32,W vs Andreescu,1.03,1.26,86.6,2.4,2.0%,68.6%,2.3%,60.5%,39.3%,47.2%
2025 BJK Cup Qualifiers RR,W vs Maria,1.19,1.14,77.5,4.4,0.0%,55.1%,2.1%,64.6%,40.0%,37.2%
2025 BJK Cup Qualifiers RR,W vs Boulter,1.18,1.57,44.7,2.2,0.0%,70.4%,4.0%,60.0%,48.5%,43.8%
2025 Australian Open R128,W vs Erjavec,1.01,1.20,69.5,2.7,4.1%,59.2%,2.2%,62.2%,43.9%,50.0%
2024 BJK Cup Playoffs RR,W vs Erjavec,0.92,1.45,52.6,2.8,10.5%,81.6%,0.0%,57.6%,51.2%,41.5%
2024 Osaka F,W vs Birrell,0.99,1.64,44.1,2.2,17.4%,65.2%,4.8%,57.1%,54.2%,73.9%
2024 Osaka SF,W vs Parry,1.09,1.51,49.3,2.0,3.6%,71.4%,3.8%,61.5%,40.0%,52.9%
2024 Osaka QF,W vs Bogdan,1.13,1.26,54.8,4.9,6.5%,63.0%,2.3%,54.5%,40.5%,51.2%
2024 Osaka R16,W vs Bronzetti,1.18,1.69,44.2,2.1,11.1%,70.4%,7.7%,65.4%,42.9%,50.0%
2024 Osaka R32,W vs Tomova,1.12,1.94,39.4,2.1,11.1%,70.4%,8.3%,70.8%,42.3%,60.0%
2024 US Open Q1,L vs Hartono,0.85,0.66,47.0,2.0,11.1%,44.4%,4.5%,63.6%,40.6%,32.3%
2022 BJK Cup Playoffs: FRA vs NED RR,L vs Parry,1.08,0.84,85.0,6.9,1.6%,53.2%,5.3%,64.9%,27.8%,36.7%
2022 s Hertogenbosch R32,L vs Kalinskaya,0.98,0.82,66.9,2.9,0.0%,61.0%,5.1%,48.7%,42.5%,32.5%
2022 Bogota R16,L vs Bara,0.85,0.75,60.8,2.1,3.1%,40.6%,3.7%,51.9%,41.7%,54.8%
2026 (2 matches),,1.00,0.75,50.4,4.1,1.4%,48.6%,1.4%,50.0%,42.3%,32.8%
2025 (8 matches),,1.04,1.19,63.4,2.5,2.9%,62.0%,2.1%,60.3%,46.7%,42.7%
2024 (7 matches),,1.04,1.36,48.4,2.4,9.7%,67.1%,4.1%,60.7%,44.3%,50.2%
2022 (4 matches),,1.05,0.91,75.3,3.5,1.1%,51.9%,4.8%,56.0%,38.7%,41.4%
2019 (9 matches),,0.95,1.31,48.7,2.3,0.0%,57.1%,0.0%,59.1%,58.8%,56.6%
Career (60 matches),,1.02,1.06,57.0,2.7,2.8%,54.9%,1.7%,55.8%,46.5%,46.8%
