Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Ostrava F,L vs Boulter,3.8,3.6,4.0,51.1%,34.5%,25.0%,35.7%,50.4%,9.9%,-9.0,-9.3,-4.5,-4.7
2023 Cluj Napoca F,W vs Ruse,5.4,5.1,5.8,62.0%,51.4%,42.1%,54.5%,48.6%,7.3%,11.5,8.8,4.0,3.0
2023 ITF Trnava R32,L vs Falkowska,4.1,4.2,3.9,37.9%,58.6%,35.3%,12.5%,53.2%,11.4%,1.5,1.5,5.5,7.1
2023 Australian Open R128,L vs Raducanu,4.6,4.6,4.6,37.9%,50.0%,37.5%,53.8%,47.6%,7.2%,10.0,10.8,-1.0,-1.0
2022 Wimbledon R128,L vs Watson,4.2,4.1,4.4,42.7%,51.1%,48.3%,36.8%,44.9%,9.3%,7.0,4.7,1.5,0.9
2018 Lugano R16,W vs Von Deichmann,6.2,5.7,6.8,44.3%,61.0%,64.0%,46.9%,44.6%,13.3%,11.0,6.2,13.0,6.6
2017 Stuttgart R32,L vs Suarez Navarro,6.1,6.8,5.5,38.5%,58.6%,40.0%,44.8%,52.2%,9.7%,0.0,0.0,21.0,16.0
2016 Limoges QF,L vs Vikhlyantseva,3.5,3.9,3.1,42.7%,55.2%,50.0%,25.0%,53.6%,12.0%,1.0,1.1,-6.5,-9.4
Last 52 Weeks (1 matches),,3.8,3.6,4.0,51.1%,34.5%,25.0%,35.7%,50.4%,9.9%,-9.0,-9.3,-4.5,-4.7
Career (8 matches),,4.7,4.7,4.8,44.6%,52.8%,44.6%,42.8%,48.7%,10.1%,4.1,3.3,4.1,3.4
