Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
01-Feb-2026,Ostrava,Hard,F,124,120,Katie Boulter [GBR] d. Korpatsch,5-7 6-2 6-1,0.68,6.2%,2.5%,65.4%,60.4%,50.0%,3/9,1:59
01-Dec-2025,Angers 125,Hard,F,138,112,Kamilla Rakhimova [UZB] d. Korpatsch,6-3 7-6(4),0.85,4.4%,5.9%,57.4%,53.8%,34.5%,2/7,2:23
10-Nov-2025,W50 Funchal,Hard,F,151,985,Korpatsch d. Lea Nilsson [SWE],5-7 7-5 6-1,1.15,2.3%,6.8%,55.3%,53.4%,44.1%,11/20,3:29
12-May-2025,W75 Trnava,Clay,F,169,217,Korpatsch d. Mai Hontama [JPN],1-6 6-4 6-4,0.95,1.1%,4.3%,68.5%,54.0%,48.3%,10/16,2:26
16-Oct-2023,Cluj Napoca,Hard,F,105,188,Korpatsch d. (WC) Elena Gabriela Ruse [ROU],6-3 6-4,1.21,0.0%,5.7%,47.1%,57.6%,48.6%,4/8,1:52
14-Nov-2022,W80 Madrid,Clay,F,89,193,Aliona Bolsova [MDA] d. (1) Korpatsch,6-4 6-2,,,,,,,,
19-Sep-2022,Budapest 125,Clay,F,118,109,(Q) Korpatsch d. Viktoriya Tomova [BUL],7-6(3) 6-7(4) 6-0,1.17,0.9%,5.3%,64.9%,59.5%,45.0%,6/12,2:50
05-Sep-2022,W60 Montreux,Clay,F,139,145,(3) Korpatsch d. (4) Emma Navarro [USA],6-4 6-1,,,,,,,,
28-Mar-2022,Marbella 125,Clay,F,149,73,(3) Mayar Sherif [EGY] d. (ALT) Korpatsch,7-6(1) 6-4,0.89,1.3%,7.9%,59.2%,62.2%,38.7%,7/11,2:08
21-Mar-2022,W25 Le Havre,Clay,F,149,141,(3) Korpatsch d. (2) Anna Blinkova [RUS],3-6 6-2 6-2,,,,,,,,
