Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 W25 Sunderland SF,L vs Dart,1.01,0.73,43.7,4.3,2.9%,38.2%,3.3%,36.7%,43.5%,47.5%
2019 W25 Sunderland QF,W vs Dodin,1.17,1.43,49.4,2.0,0.0%,55.9%,3.6%,71.4%,37.5%,53.3%
2019 W25 Sunderland R16,W vs Morderger,1.22,1.36,55.2,3.0,3.6%,46.4%,0.0%,44.0%,64.5%,57.1%
2019 W25 Sunderland R32,W vs Ponchet,1.31,1.18,63.6,221.4,1.9%,56.6%,2.1%,45.8%,45.7%,41.9%
2019 W25 Bolton R32,L vs Anderson,1.04,1.36,56.9,2.4,0.0%,61.3%,6.7%,56.7%,47.2%,60.0%
2019 W25 Trnava R16,L vs Allertova,1.05,0.88,71.7,3.6,3.4%,45.8%,5.4%,55.4%,40.0%,43.2%
2019 W25 Trnava R32,W vs Kolodziejova,1.15,1.35,53.2,3.3,2.3%,54.5%,0.0%,65.0%,50.0%,44.8%
2017 Toronto $60K R32,L vs Rodriguez,0.97,0.71,46.4,2.0,2.9%,29.4%,0.0%,57.6%,50.0%,33.3%
2017 Saguenay $60K R16,L vs Di Lorenzo,1.00,0.69,52.9,2.1,3.7%,55.6%,4.3%,47.8%,29.4%,36.4%
2017 Saguenay $60K R32,W vs Anderson,1.21,1.43,50.9,2.5,0.0%,56.4%,0.0%,64.9%,38.5%,56.5%
2017 Florence SC $25K R16,L vs Sadikovic,0.84,0.82,74.2,6.5,0.0%,57.5%,0.0%,41.2%,48.9%,47.7%
2017 Florence SC $25K R32,W vs Chang,1.05,1.60,35.3,2.0,0.0%,56.0%,4.0%,56.0%,73.1%,60.9%
2017 Sumter SC $25K R32,L vs Tatishvili,0.93,0.79,60.3,3.0,2.5%,50.0%,0.0%,34.3%,59.5%,36.8%
2017 Stillwater OK $25K R32,L vs Collins,1.08,0.78,43.7,2.2,2.1%,41.7%,2.1%,50.0%,35.9%,42.1%
2017 Albuquerque NM $80K QF,L vs Reix,1.00,0.74,61.8,2.9,0.0%,55.8%,0.0%,53.7%,31.6%,35.1%
2017 Albuquerque NM $80K R16,W vs Rodgers,1.12,1.21,69.6,5.7,0.0%,48.1%,0.0%,49.0%,51.1%,61.0%
2017 Albuquerque NM $80K R32,W vs Bouzkova,1.14,1.26,60.3,2.4,4.9%,63.4%,0.0%,48.6%,46.3%,50.0%
2017 Naiman $25K R32,L vs Thandi,0.84,0.76,55.0,2.4,10.8%,62.2%,2.7%,48.6%,41.0%,39.4%
2017 Surbiton $100K R32,L vs Broady,0.84,0.61,39.9,2.3,0.0%,53.6%,3.8%,26.9%,44.8%,41.4%
2017 Zhuhai $60K R16,L vs Hsieh,1.00,0.77,64.8,4.0,5.3%,28.9%,0.0%,50.0%,54.0%,39.6%
2019 (7 matches),,1.13,1.13,57.6,3.4,2.1%,51.2%,3.1%,53.7%,46.2%,49.0%
2017 (22 matches),,1.02,1.01,56.5,2.8,2.1%,53.1%,0.9%,50.3%,48.2%,47.1%
2016 (31 matches),,1.00,1.07,57.7,2.7,3.2%,54.9%,2.2%,54.5%,48.5%,48.6%
2015 (5 matches),,1.03,1.11,47.6,2.6,1.1%,50.3%,0.0%,56.6%,51.8%,48.7%
2014 (14 matches),,0.97,1.03,67.0,3.4,1.8%,53.3%,0.7%,54.9%,49.2%,48.3%
Career (113 matches),,1.01,1.06,57.6,2.8,2.1%,55.0%,1.5%,53.9%,47.8%,47.4%
