Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
6,Petra Marcinko [CRO],3,3,50.0%,3,2,1,66.7%,2021,2024,2,0.84,0.7%,4.8%,61.4%,40.4%,44.6%,42.1%,48.8%,44.4%,50.0%
5,Lina Gjorcheska [MKD],5,0,100.0%,2,2,0,100.0%,2022,2025,2,1.20,1.9%,1.2%,61.5%,64.6%,45.2%,57.1%,51.6%,59.1%,59.1%
4,Reka Luca Jani [HUN],2,2,50.0%,2,0,2,0.0%,2022,2022,2,1.00,1.7%,0.0%,75.8%,52.7%,51.7%,52.5%,47.7%,46.7%,38.1%
3,Lola Radivojevic [SRB],2,1,66.7%,2,2,0,100.0%,2023,2025,1,1.08,2.7%,1.4%,82.4%,62.3%,53.8%,60.8%,42.5%,50.0%,44.4%
3,Dominika Salkova [CZE],1,2,33.3%,0,0,0,-,2022,2025,1,1.19,1.4%,1.4%,59.7%,67.4%,51.7%,61.1%,46.4%,57.1%,30.8%
3,Selena Janicijevic [FRA],2,1,66.7%,2,2,0,100.0%,2022,2024,0,,,,,,,,,,
3,Gergana Topalova [BUL],1,2,33.3%,0,0,0,-,2023,2024,0,,,,,,,,,,
3,Cagla Buyukakcay [TUR],3,0,100.0%,0,0,0,-,2022,2024,1,1.72,2.0%,0.0%,64.7%,66.7%,66.7%,66.7%,57.4%,75.0%,83.3%
3,Veronika Erjavec [SLO],2,1,66.7%,1,0,1,0.0%,2022,2023,0,,,,,,,,,,
3,Andreea Prisacariu [ROU],2,1,66.7%,1,0,1,0.0%,2020,2023,0,,,,,,,,,,
3,Sohyun Park [KOR],1,2,33.3%,2,2,0,100.0%,2021,2021,0,,,,,,,,,,
2,Amarissa Kiara Toth [HUN],1,1,50.0%,0,0,0,-,2024,2026,1,0.95,1.3%,1.3%,66.7%,60.0%,32.0%,50.7%,46.9%,33.3%,29.4%
2,Carole Monnet [FRA],2,0,100.0%,0,0,0,-,2022,2025,1,1.96,0.0%,2.5%,75.0%,76.7%,40.0%,67.5%,63.6%,0.0%,85.7%
2,Julia Grabher [AUT],0,2,0.0%,0,0,0,-,2025,2025,2,0.85,0.7%,4.9%,71.1%,55.4%,31.7%,48.6%,43.7%,42.1%,30.4%
2,Arina Rodionova [AUS],1,1,50.0%,1,0,1,0.0%,2023,2025,2,0.99,0.8%,2.4%,62.9%,56.4%,43.5%,51.6%,47.9%,25.0%,64.3%
