Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
8,Ana Ivanovic [SRB],2,6,25.0%,2,1,1,50.0%,2004,2007,4,0.91,0.0%,4.2%,64.0%,57.5%,43.1%,52.3%,43.5%,62.2%,40.6%
6,Francesca Schiavone [ITA],4,2,66.7%,0,0,0,-,2003,2007,3,1.63,7.5%,4.4%,67.5%,72.2%,55.8%,66.9%,54.1%,91.7%,45.2%
6,Nadia Petrova [RUS],5,1,83.3%,3,1,2,33.3%,2005,2007,5,1.08,4.9%,3.8%,65.6%,66.0%,50.0%,60.5%,42.7%,70.0%,52.8%
5,Anna Chakvetadze [RUS],3,2,60.0%,2,2,0,100.0%,2005,2007,4,1.08,4.6%,5.6%,68.0%,64.6%,43.3%,57.8%,45.5%,71.4%,36.1%
5,Gisela Dulko [ARG],3,2,60.0%,2,0,2,0.0%,2003,2007,2,1.18,1.7%,2.9%,72.7%,60.0%,55.3%,58.7%,48.7%,52.6%,44.4%
5,Maria Sharapova [RUS],0,5,0.0%,3,1,2,33.3%,2004,2007,4,0.83,3.2%,4.8%,65.7%,55.1%,33.3%,47.6%,43.6%,47.8%,40.6%
5,Ai Sugiyama [JPN],5,0,100.0%,1,1,0,100.0%,2005,2007,0,,,,,,,,,,
5,Dinara Safina [RUS],3,2,60.0%,2,0,2,0.0%,2004,2007,1,0.83,3.3%,6.7%,60.0%,83.3%,16.7%,56.7%,36.2%,83.3%,0.0%
4,Jelena Jankovic [SRB],1,3,25.0%,1,0,1,0.0%,2004,2008,2,0.88,2.3%,4.0%,63.6%,56.4%,44.4%,52.0%,42.3%,50.0%,37.5%
4,Justine Henin [BEL],0,4,0.0%,1,0,1,0.0%,2005,2007,3,0.78,2.7%,1.5%,66.8%,58.9%,43.7%,53.8%,36.2%,65.0%,43.8%
4,Svetlana Kuznetsova [RUS],3,1,75.0%,0,0,0,-,2004,2007,2,1.22,6.6%,2.9%,69.3%,63.2%,47.6%,58.4%,51.0%,53.3%,35.3%
4,Shuai Peng [CHN],2,2,50.0%,0,0,0,-,2003,2007,2,1.11,2.3%,2.9%,67.4%,67.2%,44.6%,59.9%,44.4%,75.0%,52.9%
4,Patty Schnyder [SUI],2,2,50.0%,3,1,2,33.3%,2005,2007,1,1.06,0.9%,2.8%,70.1%,68.0%,46.9%,61.7%,40.7%,66.7%,66.7%
4,Anna Smashnova [ISR],4,0,100.0%,1,1,0,100.0%,2004,2007,2,1.29,4.7%,7.8%,59.7%,64.9%,42.3%,55.8%,56.8%,40.0%,61.9%
4,Nicole Vaidisova [CZE],1,3,25.0%,1,0,1,0.0%,2004,2006,1,2.56,15.4%,5.1%,79.5%,77.4%,75.0%,76.9%,59.1%,50.0%,0.0%
