Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),1102,14,,,,,,,,,577,117,,
2025,1101,14,,,,,,,,,388,194
2024,824,33,,,,,,,,,374,191
2023,747,43,,,,,,,,,,
2022,600,56,,,,,,,,,,
2021,575,75,,,,,,,,,,
2020,566,65,,,,,,,,,269,308
2019,523,69,,,,,,,,,245,308
2018,572,30,,,,,,,,,427,114
2017,447,80,,,,,,,,,423,124
2016,535,52,,,,,,,,,533,77
2015,748,22,,,,,,,,,912,21
2014,512,48,,,,,,,,,1109,9
2013,501,70,,,,,,,,,1143,11
2012,1146,3,,,,,,,,,,
