Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Miami R128,W vs Volynets,1.16,1.62,44.9,2.3,7.4%,70.4%,0.0%,62.5%,32.3%,62.1%
2026 Doha R32,L vs Muchova,1.13,0.56,52.2,2.2,0.0%,40.6%,6.3%,59.4%,19.0%,31.6%
2026 Australian Open R32,L vs Rybakina,0.93,0.68,49.8,2.6,10.0%,56.7%,3.6%,39.3%,46.9%,27.6%
2026 Australian Open R128,W vs Joint,1.06,1.31,57.5,2.3,14.3%,65.7%,3.3%,53.3%,55.0%,43.2%
2026 Adelaide R16,L vs Keys,0.80,0.65,56.0,2.9,4.2%,45.8%,0.0%,47.4%,44.7%,42.1%
2025 Osaka F,L vs Fernandez,1.07,0.81,66.4,2.2,0.0%,46.5%,0.0%,50.0%,42.9%,35.1%
2025 Osaka SF,W vs Cristian,1.00,1.23,63.7,5.4,4.0%,66.0%,2.3%,61.4%,42.0%,46.9%
2025 Osaka QF,W vs Danilovic,0.99,1.25,63.9,5.0,4.7%,60.5%,2.6%,53.8%,53.5%,54.3%
2025 Osaka R16,W vs Mertens,1.13,1.86,41.7,3.0,6.9%,72.4%,4.0%,68.0%,50.0%,47.6%
2025 Osaka R32,W vs Eala,1.31,1.70,36.2,2.1,8.8%,61.8%,0.0%,51.5%,60.7%,51.9%
2025 US Open R64,L vs Rybakina,0.89,0.80,67.1,2.9,0.0%,54.3%,6.3%,53.1%,43.9%,38.9%
2025 US Open R128,W vs Bronzetti,0.97,1.23,70.5,2.3,9.8%,68.3%,2.9%,60.0%,32.7%,58.0%
2025 Prague SF,L vs Bouzkova,0.91,0.75,56.4,2.2,0.0%,38.2%,3.6%,60.7%,37.8%,48.5%
2025 Prague R16,W vs Sramkova,1.06,1.20,67.6,3.4,2.1%,53.2%,0.0%,67.4%,43.5%,47.6%
2025 Prague R32,W vs Ito,0.93,1.54,44.8,2.1,8.7%,60.9%,4.5%,59.1%,58.3%,73.9%
2025 Roland Garros R64,L vs Gauff,0.93,0.75,49.8,2.0,6.7%,26.7%,0.0%,44.4%,55.2%,48.0%
2026 (5 matches),,1.01,0.93,52.4,2.4,7.4%,56.1%,3.0%,52.6%,42.0%,42.1%
2025 (11 matches),,1.02,1.11,59.3,2.7,4.4%,55.7%,2.2%,57.3%,45.7%,49.5%
Career (16 matches),,1.02,1.06,57.4,2.6,5.2%,55.8%,2.4%,56.1%,44.6%,47.4%
