Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2019 Taipei QF,W vs Bains,5.2,5.2,5.2,52.3%,56.8%,62.5%,44.8%,64.2%,13.6%,4.5,2.0,14.0,11.2
2019 US Open R64,L vs Gauff,4.5,4.7,4.2,54.2%,21.9%,43.5%,44.0%,63.0%,15.1%,-8.0,-4.5,7.5,7.1
2019 Dubai R64,L vs Cornet,4.3,4.4,4.3,40.7%,39.5%,35.3%,70.0%,49.4%,12.6%,-13.5,-13.4,-6.0,-5.8
2019 Auckland R32,L vs Andreescu,3.5,3.5,3.5,53.8%,38.1%,25.0%,40.0%,46.4%,15.2%,-1.0,-1.2,-1.0,-1.1
2018 Monterrey F,L vs Muguruza,3.3,3.3,3.3,49.6%,46.8%,65.2%,0.0%,49.3%,11.7%,1.0,1.0,5.5,4.7
2018 Taipei F,W vs Baindl,4.0,3.6,4.4,59.0%,63.9%,41.2%,71.4%,47.8%,12.4%,4.5,5.8,9.5,10.3
2017 Tashkent SF,W vs Sabalenka,3.1,3.5,2.7,63.4%,55.6%,37.5%,33.3%,51.6%,18.3%,2.0,4.1,8.5,18.1
2017 Quebec City SF,W vs Safarova,3.2,3.2,3.1,50.9%,50.0%,46.2%,57.1%,41.8%,19.3%,1.5,2.7,4.0,4.5
2016 US Open R32,L vs Halep,5.8,6.0,5.6,45.7%,53.2%,50.0%,45.7%,52.4%,17.1%,-4.5,-2.1,-2.0,-1.1
2016 Roland Garros R64,L vs Mladenovic,4.1,4.2,3.9,45.6%,30.8%,36.4%,75.0%,41.5%,12.7%,-2.5,-4.4,-1.0,-1.1
2016 Katowice QF,L vs Ostapenko,3.5,3.4,3.6,57.0%,30.6%,17.6%,54.5%,39.2%,19.8%,-9.5,-12.5,-4.5,-3.4
2016 Katowice R16,W vs Golubic,5.2,5.0,5.3,48.8%,48.1%,41.7%,62.1%,45.7%,16.2%,-5.0,-3.2,1.5,0.8
2016 Miami R32,W vs Osaka,3.2,3.1,3.4,56.7%,61.9%,45.5%,60.0%,44.5%,10.5%,1.5,2.8,1.0,1.5
2016 Miami R128,W vs Tatishvili,4.1,3.7,4.5,51.9%,70.8%,45.0%,64.3%,58.3%,17.1%,6.5,5.1,-4.5,-5.4
2016 Indian Wells R128,L vs Tsurenko,4.0,3.8,4.2,47.4%,39.3%,38.5%,45.5%,59.5%,15.6%,-23.0,-17.6,3.0,3.8
2016 Doha R16,L vs Muguruza,3.6,4.0,3.3,41.7%,33.3%,61.1%,33.3%,54.7%,12.1%,-6.0,-6.6,-0.5,-0.6
2016 St Petersburg QF,L vs Vinci,4.4,4.2,4.5,51.6%,42.9%,40.0%,61.5%,41.9%,18.5%,4.5,3.1,-2.0,-1.0
2015 Tianjin QF,L vs Pliskova,4.0,4.2,3.9,38.3%,48.0%,37.5%,62.5%,49.7%,15.1%,-4.5,-6.6,-1.5,-1.9
2015 Guangzhou R16,L vs Halep,3.4,2.9,3.8,35.5%,44.8%,44.4%,40.0%,45.5%,11.0%,-1.0,-1.9,-1.5,-2.3
2015 Roland Garros R128,L vs Kerber,4.2,4.6,3.6,35.0%,41.4%,16.7%,0.0%,40.8%,1.1%,-11.0,-20.4,-4.0,-4.7
Career (23 matches),,4.1,4.1,4.1,49.1%,45.4%,44.1%,52.4%,50.2%,13.9%,-2.8,-2.7,0.8,0.8
