Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),673,63,363,1367,336,1355,378,1277,,,604,108,,
2025,657,65,366,1367,345,1355,387,1277,,,607,108
2024,406,145,303,1426,263,1419,352,1300,,,641,85
2022,644,46,,,,,,,,,,
2021,181,382,181,1535,163,1526,246,1356,164,1430,,
2020,154,469,148,1526,143,1501,156,1386,,,140,616
2019,136,459,188,1550,179,1522,222,1410,,,116,653
2018,339,116,,,,,,,,,354,166
2017,238,233,,,,,,,,,297,222
2016,325,129,,,,,,,,,442,104
2015,447,67,,,,,,,,,1054,13
2014,1030,7,,,,,,,,,,
