Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2023 US Open R128,L vs Wickmayer,9,39,0.2,7.2%,31.2%,8,32,0.3,7.2%,28.8%,4.5%,2.7%,0.6,16.0%,25.6%
2023 Berlin R32,L vs Sabalenka,6,14,0.4,6.0%,14.0%,6,10,0.6,6.7%,11.1%,3.3%,0.0%,2.5,33.0%,13.0%
2021 US Open R128,L vs Barty,9,16,0.6,7.0%,12.4%,7,12,0.6,6.6%,11.3%,3.8%,1.9%,1.2,24.0%,20.2%
2021 Wimbledon R64,L vs Swiatek,10,16,0.6,10.6%,17.0%,9,14,0.6,10.5%,16.3%,4.7%,5.8%,1.1,17.0%,14.9%
2021 Wimbledon R128,W vs Bouzkova,31,30,1.0,21.7%,21.0%,30,23,1.3,22.6%,17.3%,13.5%,8.3%,0.9,13.3%,14.7%
2021 Madrid R64,L vs Sabalenka,6,13,0.5,6.0%,13.0%,5,10,0.5,5.5%,11.0%,5.5%,0.0%,1.5,37.0%,25.0%
2021 St. Petersburg SF,L vs Gasparyan,11,25,0.4,6.6%,15.0%,10,22,0.5,6.4%,14.1%,0.6%,5.8%,0.8,18.0%,24.0%
2021 Australian Open R128,L vs Rybakina,21,15,1.4,11.7%,8.3%,21,15,1.4,12.4%,8.8%,,,0.9,20.0%,23.3%
2020 Doha R64,W vs Hsieh,18,19,0.9,14.9%,15.7%,15,18,0.8,12.8%,15.4%,7.7%,5.1%,0.6,15.7%,24.8%
2019 Roland Garros R128,L vs Bolsova,20,31,0.6,14.5%,22.5%,20,31,0.6,15.0%,23.3%,,,0.9,13.8%,15.2%
2019 St. Petersburg SF,L vs Vekic,7,19,0.4,7.4%,20.0%,7,16,0.4,8.0%,18.2%,2.3%,5.7%,1.0,22.1%,23.2%
2019 St. Petersburg QF,W vs Kasatkina,23,30,0.8,15.1%,19.7%,22,24,0.9,15.9%,17.4%,8.7%,6.5%,0.5,13.2%,26.3%
2019 St. Petersburg R16,W vs Goerges,16,17,0.9,10.2%,10.8%,13,14,0.9,8.9%,9.6%,0.7%,2.7%,0.8,29.9%,36.9%
2018 Moscow QF,L vs Sevastova,24,32,0.8,12.8%,17.0%,23,26,0.9,13.1%,14.9%,5.7%,7.4%,1.0,17.6%,17.6%
2018 US Open R64,L vs Sabalenka,12,20,0.6,7.8%,13.1%,7,13,0.5,5.1%,9.6%,1.5%,2.9%,1.2,25.5%,20.9%
2018 Wimbledon R128,L vs Kerber,16,21,0.8,12.3%,16.2%,14,20,0.7,12.1%,17.2%,5.2%,6.9%,0.9,15.4%,17.7%
2015 Australian Open R64,L vs Williams,11,24,0.5,9.2%,20.2%,9,22,0.4,8.3%,20.4%,5.6%,2.8%,1.3,26.9%,20.2%
2015 Australian Open R128,W vs Jabeur,6,9,0.7,6.0%,9.0%,3,8,0.4,3.3%,8.7%,2.2%,1.1%,0.4,19.0%,46.0%
2014 Wimbledon R32,L vs Diyas,31,35,0.9,15.5%,17.5%,31,31,1.0,16.2%,16.2%,7.9%,7.3%,0.8,12.5%,16.0%
2014 Wimbledon R64,W vs Vekic,30,17,1.8,21.7%,12.3%,23,14,1.6,19.3%,11.8%,9.2%,8.4%,1.0,18.1%,18.8%
Career (67 matches),,1186,1666,0.7,12.8%,18.0%,1056,1446,0.7,12.4%,17.0%,4.9%,4.2%,0.8,16.8%,21.2%
