Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 US Open R64,W vs Pavlyuchenkova,78% (7/9),38% (5/13),2/2,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2025 Bad Homburg R16,L vs Swiatek,75% (6/8),33% (2/6),0/0,0/0,50% (4/8),0/2,0/1,- (0/0),- (0/0)
2025 Madrid R128,L vs Danilovic,100% (4/4),33% (2/6),0/0,0/0,17% (1/6),0/2,0/1,- (0/0),- (0/0)
2025 Indian Wells R64,L vs Zheng,57% (4/7),100% (3/3),0/0,0/0,44% (4/9),0/2,0/1,- (0/0),- (0/0)
2025 Doha R64,L vs Anisimova,38% (6/16),33% (2/6),0/0,0/0,56% (5/9),0/2,0/1,- (0/0),- (0/0)
2024 US Open R32,L vs Wang,64% (7/11),67% (4/6),1/1,0/0,54% (7/13),3/5,2/3,- (0/0),- (0/0)
2024 US Open R64,W vs Burel,80% (8/10),50% (4/8),2/6,1/4,86% (6/7),0/0,0/0,- (0/0),- (0/0)
2024 US Open R128,W vs Starodubtseva,67% (8/12),50% (7/14),2/2,1/1,50% (3/6),0/1,0/0,- (0/0),- (0/0)
2024 Toronto R64,W vs Pavlyuchenkova,73% (8/11),40% (4/10),2/8,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 Washington QF,L vs Sabalenka,55% (6/11),33% (2/6),0/0,0/0,56% (5/9),3/5,0/1,- (0/0),- (0/0)
2024 Berlin R16,W vs Sonmez,47% (7/15),50% (5/10),2/3,1/1,71% (5/7),0/0,0/0,- (0/0),- (0/0)
2024 Roland Garros R64,L vs Andreeva,42% (5/12),53% (9/17),1/4,0/0,23% (3/13),3/5,3/4,- (0/0),- (0/0)
2024 Madrid R32,L vs Sorribes Tormo,36% (5/14),33% (4/12),0/0,0/0,44% (4/9),1/3,0/1,0% (0/3),0% (0/4)
2024 Charleston QF,L vs Pegula,73% (11/15),42% (5/12),1/5,0/4,75% (15/20),4/6,4/5,38% (3/8),50% (4/8)
2024 Miami SF,L vs Rybakina,63% (12/19),50% (4/8),1/1,0/0,82% (9/11),1/3,1/2,40% (2/5),0% (0/4)
2024 Doha QF,L vs Swiatek,60% (3/5),50% (1/2),0/0,0/0,17% (1/6),1/3,1/2,- (0/0),- (0/0)
2024 Australian Open R16,L vs Yastremska,75% (6/8),50% (4/8),0/2,0/0,55% (6/11),1/3,0/1,29% (2/7),57% (4/7)
2024 Australian Open R32,W vs Ostapenko,64% (9/14),100% (4/4),2/2,1/1,86% (6/7),0/0,0/0,- (0/0),- (0/0)
2024 Brisbane SF,L vs Sabalenka,67% (6/9),0% (0/3),0/0,0/0,63% (5/8),1/3,0/1,- (0/0),- (0/0)
2023 US Open R64,L vs Zhu,46% (6/13),0% (0/3),0/0,0/0,75% (9/12),2/4,1/2,- (0/0),- (0/0)
2025 (5 matches),,61.4%,41.2%,100.0%,100.0%,44.4%,0.0%,0.0%,-,-
2024 (14 matches),,60.8%,47.5%,41.2%,38.5%,59.1%,48.6%,55.0%,30.4%,34.8%
2023 (13 matches),,53.0%,44.8%,61.3%,100.0%,63.9%,54.2%,66.7%,52.9%,43.8%
2022 (11 matches),,55.9%,36.7%,46.2%,62.5%,56.0%,46.2%,53.8%,36.4%,54.5%
2021 (15 matches),,60.1%,46.9%,48.7%,38.9%,52.3%,46.9%,46.7%,45.0%,47.6%
Career (410 matches),,59.7%,48.8%,57.0%,57.9%,58.5%,50.6%,48.9%,53.8%,43.1%
