Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,14,11,3,78.6%,24-9,72.7%,175-110,61.4%,2-1,66.7%,14,68.6%,54.2%,1.7%,2.9%,67.3%,60.4%,52.4%,57.8%,52.1%,54.9%,1.23,W (W15 Santiago)
2025,56,41,15,73.2%,90-34,72.6%,672-440,60.4%,9-3,75.0%,55,66.2%,53.5%,1.5%,3.7%,67.4%,61.5%,47.9%,57.1%,51.1%,54.0%,1.19,W (3x)
2024,42,27,15,64.3%,60-36,62.5%,497-373,57.1%,2-4,33.3%,0,,,,,,,,,,,,W (W15 Trelew)
2023,10,6,4,60.0%,13-10,56.5%,103-99,51.0%,2-0,100.0%,0,,,,,,,,,,,,R16 (2x)
2022,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,,R32 (W25 Tucuman)
2021,34,12,22,35.3%,32-48,40.0%,351-396,47.0%,2-1,66.7%,2,25.0%,29.4%,1.1%,0.0%,65.3%,37.1%,42.4%,38.9%,39.7%,39.4%,0.65,SF (W15 Piracicaba)
2020,3,1,2,33.3%,3-4,42.9%,27-34,44.3%,1-0,100.0%,0,,,,,,,,,,,,R16 (W25 Olimpia)
2019,20,12,8,60.0%,25-19,56.8%,209-186,52.9%,2-1,66.7%,0,,,,,,,,,,,,F (2x)
2018,47,30,17,63.8%,65-48,57.5%,552-485,53.2%,5-6,45.5%,0,,,,,,,,,,,,F (3x)
2017,30,15,15,50.0%,33-30,52.4%,297-279,51.6%,3-2,60.0%,0,,,,,,,,,,,,F (2x)
2016,59,38,21,64.4%,81-50,61.8%,668-534,55.6%,4-11,26.7%,0,,,,,,,,,,,,W (Buenos Aires $10K)
2015,38,27,11,71.1%,60-27,69.0%,461-343,57.3%,5-3,62.5%,0,,,,,,,,,,,,F (4x)
2014,64,47,17,73.4%,103-45,69.6%,783-554,58.6%,7-6,53.8%,0,,,,,,,,,,,,W (3x)
2013,43,26,17,60.5%,59-42,58.4%,498-431,53.6%,5-6,45.5%,0,,,,,,,,,,,,SF (6x)
2012,36,19,17,52.8%,43-41,51.2%,387-393,49.6%,3-4,42.9%,0,,,,,,,,,,,,F (Villa Del Dique 10K)
2011,12,7,5,58.3%,14-14,50.0%,125-132,48.6%,2-0,100.0%,0,,,,,,,,,,,,SF (Asuncion 10K)
2010,2,0,2,0.0%,1-4,20.0%,16-26,38.1%,0-0,-,0,,,,,,,,,,,,R32 (2x)
Career,511,319,192,62.4%,706-463,60.4%,5825-4827,54.7%,54-48,52.9%,71,65.8%,53.1%,1.6%,3.4%,67.4%,60.8%,48.7%,56.8%,51.0%,53.9%,1.18,
