Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,13,6,7,46.2%,12-16,42.9%,127-131,49.2%,0-3,0.0%,13,73.0%,27.1%,7.7%,5.5%,60.3%,69.4%,45.6%,60.0%,38.9%,49.6%,0.97,QF (2x)
2025,57,36,21,63.2%,79-46,63.2%,627-535,54.0%,7-6,53.8%,57,74.3%,33.8%,9.4%,6.5%,57.6%,72.4%,45.3%,60.9%,43.1%,51.7%,1.10,F (3x)
2024,61,38,23,62.3%,82-56,59.4%,710-609,53.8%,12-10,54.5%,6,72.1%,20.0%,6.8%,7.0%,53.3%,69.0%,47.1%,58.8%,38.7%,48.7%,0.94,W (3x)
2023,19,9,10,47.4%,22-22,50.0%,216-200,51.9%,3-4,42.9%,1,54.5%,27.3%,1.6%,3.2%,66.7%,64.3%,38.1%,55.6%,42.1%,48.2%,0.95,F (W40 Tallinn)
2022,32,21,11,65.6%,48-25,65.8%,376-309,54.9%,5-3,62.5%,0,,,,,,,,,,,,F (2x)
2021,20,12,8,60.0%,26-19,57.8%,211-197,51.7%,2-0,100.0%,1,37.5%,22.2%,3.2%,14.5%,58.1%,55.6%,30.8%,45.2%,36.0%,41.1%,0.66,SF (W25 Jablonec nad Nisou)
2020,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,0,,,,,,,,,,,,R32 (W100+H Dubai)
2019,3,1,2,33.3%,2-4,33.3%,25-35,41.7%,1-1,50.0%,0,,,,,,,,,,,,R16 (W100+H Dubai)
2018,33,26,7,78.8%,56-22,71.8%,409-294,58.2%,3-3,50.0%,0,,,,,,,,,,,,W (3x)
2017,66,46,20,69.7%,99-52,65.6%,766-617,55.4%,9-3,75.0%,1,25.0%,25.0%,1.8%,7.3%,69.1%,50.0%,29.4%,43.6%,37.2%,40.8%,0.66,W (2x)
2016,68,50,18,73.5%,102-48,68.0%,777-549,58.6%,5-3,62.5%,0,,,,,,,,,,,,W (4x)
2015,45,35,10,77.8%,77-25,75.5%,552-377,59.4%,5-2,71.4%,0,,,,,,,,,,,,W (4x)
2014,14,9,5,64.3%,19-11,63.3%,146-123,54.3%,2-2,50.0%,0,,,,,,,,,,,,W (Heraklion 10K)
2013,7,4,3,57.1%,9-8,52.9%,84-70,54.5%,1-0,100.0%,0,,,,,,,,,,,,QF (Antalya 10K)
Career,439,293,146,66.7%,633-356,64.0%,5034-4059,55.4%,55-40,57.9%,79,72.8%,31.2%,8.6%,6.4%,57.9%,71.0%,45.2%,60.1%,42.0%,50.8%,1.05,
