Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Hong Kong R16,L vs Joint,38% (3/8),40% (2/5),0/0,0/0,55% (6/11),2/4,0/1,- (0/0),- (0/0)
2019 W25 Jerusalem QF,L vs Yushchenko,31% (5/16),78% (7/9),1/1,0/0,36% (5/14),1/3,0/1,- (0/0),- (0/0)
2019 W25 Jerusalem R32,W vs Akler,60% (6/10),55% (6/11),2/4,1/3,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2019 W25 Khimki R32,L vs Mironova,67% (4/6),25% (1/4),0/0,0/0,71% (10/14),3/5,3/4,- (0/0),- (0/0)
2019 W15 Cairo R16,W vs Sebestova,46% (6/13),46% (6/13),2/10,1/2,67% (4/6),0/0,0/0,- (0/0),- (0/0)
2019 W15 Cairo R32,W vs Bertoldo,75% (6/8),75% (6/8),2/4,1/2,57% (4/7),0/0,0/0,- (0/0),- (0/0)
2019 W15 Cairo SF,L vs Papamichail,50% (6/12),50% (6/12),1/4,0/0,47% (7/15),2/4,1/2,- (0/0),- (0/0)
2019 W15 Cairo QF,W vs Mays,100% (7/7),63% (5/8),2/3,1/2,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2019 W15 Cairo R16,W vs Sebestova,78% (7/9),50% (5/10),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 W15 Cairo R32,W vs Bertoldo,50% (6/12),75% (6/8),2/2,1/1,78% (7/9),0/0,0/0,- (0/0),- (0/0)
2019 W15 Tel Aviv QF,L vs Dentoni,38% (3/8),50% (3/6),0/0,0/0,14% (1/7),0/2,0/1,- (0/0),- (0/0)
2019 W15 Tel Aviv R16,W vs Desai,59% (10/17),50% (5/10),2/3,1/2,33% (2/6),1/2,1/1,67% (4/6),50% (3/6)
2019 W15 Tel Aviv R32,W vs Nadel,46% (6/13),70% (7/10),2/3,1/2,75% (15/20),1/1,0/0,- (0/0),- (0/0)
2019 W15 Sharm El Sheikh R32,L vs Orpana,86% (6/7),29% (4/14),1/4,0/0,56% (10/18),5/7,5/6,69% (9/13),38% (5/13)
2019 W15 Sharm El Sheikh Q1,W vs Schech,36% (5/14),25% (1/4),0/0,0/0,33% (2/6),3/5,1/2,- (0/0),- (0/0)
2019 W25 Trnava R32,L vs Mihalikova,55% (6/11),25% (1/4),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2017 Cairo $15K QF,L vs Samir,56% (10/18),21% (4/19),1/5,0/0,74% (14/19),3/5,0/1,60% (3/5),17% (1/6)
2017 Cairo $15K R16,W vs Vulpio,77% (10/13),60% (3/5),2/3,1/2,100% (2/2),1/1,0/0,- (0/0),- (0/0)
2017 Antalya $15K QF,L vs Horackova,56% (9/16),50% (7/14),1/1,0/0,56% (9/16),0/2,0/1,33% (2/6),50% (3/6)
2017 Antalya $15K R16,W vs Bakhmutkina,63% (5/8),58% (7/12),2/5,1/3,63% (5/8),0/0,0/0,- (0/0),- (0/0)
2025 (1 matches),,37.5%,40.0%,-,-,54.5%,50.0%,0.0%,-,-
2019 (15 matches),,54.6%,52.7%,47.5%,53.3%,54.1%,51.6%,61.1%,68.4%,42.1%
2017 (10 matches),,58.9%,43.9%,34.1%,30.0%,60.7%,40.0%,0.0%,55.6%,35.7%
2016 (2 matches),,61.5%,30.0%,-,-,52.6%,20.0%,0.0%,-,-
Career (28 matches),,56.2%,47.7%,40.7%,40.0%,56.3%,45.5%,44.0%,60.9%,38.3%
