Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 W25 Corroios Seixal R32,W vs Appleton,54% (7/13),86% (6/7),3/6,43% (6/14),0% (0/6),3/5,1/1,0/0,0/0,0/0
2019 W15 Banja Luka R32,W vs Erjavec,54% (7/13),86% (6/7),0/2,46% (6/13),50% (3/6),3/4,0/0,0/1,0/0,0/0
2019 W15 Shymkent R32,W vs Poduraeva,44% (7/16),86% (6/7),0/2,43% (6/14),67% (4/6),0/1,0/2,0/0,0/0,0/0
2019 W15 Tel Aviv R32,W vs Yadav,70% (7/10),86% (6/7),2/3,30% (3/10),0% (0/3),4/4,0/1,0/0,0/1,0/0
2019 W15 Antalya R32,W vs Bartone,43% (6/14),100% (6/6),2/5,36% (5/14),0% (0/5),4/5,1/1,0/0,0/0,0/0
2019 W15 Antalya R16,L vs Ghitescu,47% (9/19),67% (6/9),1/6,55% (11/20),27% (3/11),2/5,1/1,3/5,0/0,3/3
2019 W15 Antalya R32,W vs Vajdova,36% (5/14),100% (5/5),0/3,20% (3/15),0% (0/3),3/4,1/1,0/0,1/1,0/0
2016 Ramat Hasharon $10K F,L vs Paigina,22% (2/9),100% (2/2),1/5,63% (5/8),0% (0/5),1/2,0/0,0/0,0/0,0/0
2016 Ramat Hasharon $10K QF,W vs Lankri,67% (6/9),83% (5/6),2/2,33% (3/9),33% (1/3),3/3,0/0,0/0,0/0,0/0
2016 Ramat Hasharon $10K R16,W vs Biran,63% (5/8),80% (4/5),0/0,13% (1/8),100% (1/1),4/4,2/2,0/0,1/1,0/0
2016 Tiberias $10K F,L vs Sezer,33% (3/9),33% (1/3),0/3,67% (6/9),33% (2/6),0/1,0/0,1/2,0/0,0/1
2016 Tiberias $10K R16,W vs Shleptsova,71% (5/7),100% (5/5),0/1,25% (2/8),50% (1/2),4/5,2/2,0/0,1/1,0/0
2016 Ashkelon $10K F,L vs Zerbone,57% (8/14),63% (5/8),1/5,47% (7/15),14% (1/7),3/5,1/1,2/3,0/0,0/1
2016 Buca Izmir $10K R16,W vs Cevik,100% (8/8),100% (8/8),3/3,43% (3/7),0% (0/3),4/7,1/2,0/0,0/1,0/0
2016 Buca Izmir $10K R32,W vs Mihaylova,70% (7/10),100% (7/7),1/3,33% (3/9),0% (0/3),4/6,1/2,1/1,0/1,0/0
2016 Antalya $10K QF,L vs Larkin,63% (10/16),90% (9/10),6/10,69% (11/16),9% (1/11),2/8,0/0,1/1,0/0,1/1
2016 Akko $10K F,W vs Paigina,56% (5/9),80% (4/5),1/2,30% (3/10),33% (1/3),3/4,2/3,0/0,1/2,0/0
2016 Akko $10K SF,W vs Shlomo,69% (9/13),100% (9/9),4/5,57% (8/14),25% (2/8),4/9,2/2,1/2,1/1,0/0
2016 Akko $10K R16,W vs Tahan,80% (8/10),100% (8/8),3/5,56% (5/9),0% (0/5),3/7,1/2,0/0,0/1,0/0
2016 Akko $10K R32,W vs Nadel,100% (7/7),86% (6/7),1/1,43% (3/7),67% (2/3),5/6,2/2,0/0,1/1,0/0
2019 (7 matches),,48.5%,85.4%,29.6%,40.0%,25.0%,67.9%,57.1%,50.0%,50.0%,100.0%
2016 (23 matches),,61.4%,87.1%,50.6%,50.7%,15.8%,55.5%,65.5%,42.1%,50.0%,16.7%
2015 (13 matches),,48.3%,82.9%,37.5%,52.1%,17.6%,65.4%,53.8%,61.5%,40.0%,62.5%
2014 (6 matches),,55.8%,96.6%,50.0%,60.8%,22.6%,60.9%,50.0%,50.0%,50.0%,0.0%
2013 (3 matches),,46.4%,69.2%,31.3%,67.9%,10.5%,62.5%,0.0%,66.7%,-,66.7%
Career (53 matches),,54.4%,85.9%,43.1%,51.2%,17.5%,59.7%,59.3%,50.0%,47.6%,52.2%
