Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
17-Mar-2026,Miami,Hard,R64,34,72,Caty Mcnally [USA] d. (29) Wang,6-4 1-6 6-0,0.74,3.4%,4.5%,69.3%,59.0%,40.7%,5/10,1:55
04-Mar-2026,Indian Wells,Hard,R64,30,85,Ajla Tomljanovic [AUS] d. (30) Wang,6-3 6-1,0.60,2.0%,6.0%,66.0%,57.6%,35.3%,0/4,1:08
23-Feb-2026,Austin,Hard,R32,30,120,(Q) Rebeka Masarova [ESP] d. (3) Wang,6-3 6-2,0.51,0.0%,9.1%,58.2%,56.3%,39.1%,4/8,1:06
08-Feb-2026,Doha,Hard,R32,33,3,(2) Elena Rybakina [KAZ] d. Wang,6-2 6-4,0.67,1.4%,1.4%,62.2%,65.2%,32.1%,5/9,1:20
08-Feb-2026,Doha,Hard,R64,33,49,Wang d. Emiliana Arango [COL],6-1 7-5,1.37,1.6%,9.7%,61.3%,68.4%,37.5%,3/6,1:20
01-Feb-2026,Cluj-Napoca,Hard,QF,33,91,Oleksandra Oliynykova [UKR] d. (4) Wang,6-4 6-4,0.90,1.5%,3.0%,65.7%,52.3%,56.5%,5/9,2:01
01-Feb-2026,Cluj-Napoca,Hard,R16,33,114,(4) Wang d. Rebeka Masarova [ESP],6-4 6-2,1.66,7.4%,7.4%,61.1%,84.8%,47.6%,0/1,1:20
01-Feb-2026,Cluj-Napoca,Hard,R32,33,134,(4) Wang d. (Q) Kaitlin Quevedo [ESP],6-3 6-0,2.15,7.5%,10.0%,67.5%,88.9%,46.2%,0/0,1:02
19-Jan-2026,Australian Open,Hard,R16,46,4,(4) Amanda Anisimova [USA] d. Wang,7-6(4) 6-4,0.61,7.1%,3.5%,72.9%,67.7%,52.2%,8/10,1:42
19-Jan-2026,Australian Open,Hard,R32,46,13,Wang d. (13) Linda Noskova [CZE],7-5 6-4,1.07,7.0%,7.0%,53.5%,76.3%,48.5%,6/8,1:27
19-Jan-2026,Australian Open,Hard,R64,46,24,Wang d. (24) Jelena Ostapenko [LAT],4-6 6-4 6-4,1.14,5.6%,2.8%,67.6%,63.0%,34.3%,11/18,2:19
19-Jan-2026,Australian Open,Hard,R128,46,179,Wang d. (Q) Anhelina Kalinina [UKR],6-3 6-3,1.48,17.9%,3.6%,55.4%,80.6%,52.0%,1/2,1:33
12-Jan-2026,Hobart,Hard,R16,43,53,(8) Magda Linette [POL] d. Wang,6-1 7-5,0.83,0.0%,1.9%,67.3%,51.4%,41.2%,1/6,1:33
12-Jan-2026,Hobart,Hard,R32,43,119,Wang d. (WC) Talia Gibson [AUS],6-2 6-3,1.43,8.3%,3.3%,63.3%,68.4%,63.6%,3/4,1:13
05-Jan-2026,Auckland,Hard,F,57,13,(1) Elina Svitolina [UKR] d. (7) Wang,6-3 7-6(6),0.97,7.4%,1.5%,64.7%,70.5%,58.3%,1/2,1:42
05-Jan-2026,Auckland,Hard,SF,57,53,(7) Wang d. (4) Alexandra Eala [PHI],5-7 7-5 6-4,1.02,8.2%,5.7%,73.0%,65.2%,27.3%,13/19,2:48
05-Jan-2026,Auckland,Hard,QF,57,72,(7) Wang d. Francesca Jones [GBR],6-4 4-3 RET,1.31,7.1%,1.8%,71.4%,65.0%,56.3%,9/11,1:42
05-Jan-2026,Auckland,Hard,R16,57,77,(7) Wang d. Renata Zarazua [MEX],7-5 6-4,1.14,3.8%,3.8%,62.8%,73.5%,37.9%,4/6,1:53
05-Jan-2026,Auckland,Hard,R32,57,83,(7) Wang d. Caty Mcnally [USA],2-6 6-3 7-5,1.04,7.1%,2.4%,70.6%,63.3%,44.0%,2/7,2:19
20-Oct-2025,Tokyo,Hard,R32,59,82,(Q) Varvara Gracheva [FRA] d. Wang,4-6 6-3 6-4,1.04,6.9%,3.4%,72.4%,65.1%,33.3%,7/13,2:16
