Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
02-Mar-2026,W50 Helsinki,Hard,F,264,213,Noma Noha Akugue [GER] d. Gao,4-0 RET,0.15,0.0%,0.0%,81.8%,33.3%,0.0%,0/2,
03-Feb-2025,W75 Leszno,Hard,F,138,153,Elsa Jacquemot [FRA] d. Gao,6-4 6-1,,,,,,,,1:31
02-Sep-2024,W100 Incheon,Hard,F,238,334,(Q) Tatiana Prozorova [RUS] d. Gao,6-3 6-0,,,,,,,,
03-Jun-2024,W50 La Marsa,Hard,F,191,353,(1) Gao d. (8) Martyna Kubka [POL],5-7 6-3 6-3,,,,,,,,
08-Apr-2024,W50 Shenzhen,Hard,F,232,204,(5) Gao d. (6) Sijia Wei [CHN],6-4 6-4,,,,,,,,
11-Mar-2024,W35 Santo Domingo,Hard,F,270,331,(14) Maya Joint [AUS] d. (7) Gao,6-4 2-6 6-1,,,,,,,,
04-Mar-2024,W35 Santo Domingo,Hard,F,270,356,(7) Gao d. Victoria Rodriguez [MEX],6-3 6-2,,,,,,,,
07-Aug-2023,W40 Anning,Clay,F,331,302,(6) Gao d. (3) Sijia Wei [CHN],6-3 7-6(2),,,,,,,,
10-Jul-2023,W25 Corroios-Seixal,Hard,F,431,612,(Q) Gao d. (Q) Aliona Falei [BLR],6-2 6-3,,,,,,,,
22-Aug-2022,W25 Roehampton,Hard,F,423,,Gao d. (WC) Amarni Banks [GBR],6-1 6-0,,,,,,,,
