Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
06-May-2019,W60 Luan,Hard,F,234,293,(6) Han d. Ying Ying Duan [CHN],4-6 6-2 6-2,,,,,,,,
22-Oct-2018,Nanning $25K,Hard,F,167,215,Han d. Karman Thandi [IND],6-4 2-6 6-4,,,,,,,,
04-Jun-2018,Changsha $25K,Hard,F,137,488,(2) Han d. Alison Bai [AUS],7-5 0-6 6-4,,,,,,,,
26-Mar-2018,Nanjing $15K,Hard,F,165,294,(2) Fang Ying Xun [CHN] d. Han,6-4 6-3,,,,,,,,
08-Aug-2016,Naiman $25K,Hard,F,136,160,(2) Han d. (3) Fangzhou Liu [CHN],6-4 6-3,,,,,,,,
01-Feb-2016,Launceston $75K,Hard,F,137,241,(4) Han d. Alla Kudryavtseva [RUS],6-1 6-1,,,,,,,,
04-May-2015,Anning $75K,Clay,F,266,74,(1) Saisai Zheng [CHN] d. Han,6-4 3-6 6-4,,,,,,,,
23-Feb-2015,Aurangabad $25K,Clay,F,258,367,Dalila Jakupovic [SLO] d. (8) Han,6-7(5) 6-4 6-4,,,,,,,,
05-May-2014,Incheon 25K,Hard,F,305,438,(Q) Susanne Celik [SWE] d. (8) Han,4-6 6-3 6-4,,,,,,,,
07-Apr-2014,Melbourne 15K,Clay,F,361,312,(2) Zuzana Zlochova [SVK] d. (4) Han,3-6 7-6(3) 6-4,,,,,,,,
