Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
15-Dec-2025,W15 Monastir,Hard,F,420,431,Sapfo Sakellaridi [GRE] d. Mansouri,7-5 6-2,0.72,8.3%,6.7%,70.0%,64.3%,38.9%,3/7,1:28
15-Sep-2025,W35 Monastir,Hard,F,358,496,Mansouri d. Carolyn Ansari [USA],6-2 7-5,1.59,11.8%,7.8%,56.9%,75.9%,59.1%,1/3,1:30
19-Aug-2024,W15 Monastir,Hard,F,420,867,(1) Mansouri d. (5) Camilla Zanolini [ITA],6-3 6-2,,,,,,,,
12-Aug-2024,W15 Monastir,Hard,F,418,611,(1) Mansouri d. (4) Hiromi Abe [JPN],5-7 6-3 6-1,,,,,,,,
22-Jul-2024,W35 Segovia,Hard,F,499,489,Mansouri d. Lia Karatancheva [BUL],6-2 6-7(5) 7-5,,,,,,,,
01-Jul-2024,W15 Monastir,Hard,F,518,716,(1) Mansouri d. (4) Noelia Bouzo Zanotti [ESP],6-3 6-1,,,,,,,,
19-Sep-2022,W15 Monastir,Hard,F,593,699,(6) Nadine Keller [SUI] d. (3) Mansouri,6-2 7-6(7),,,,,,,,
04-Jul-2022,W15 Monastir,Hard,F,670,716,(1) Mansouri d. (2) Xinxin Yao [CHN],6-2 6-4,,,,,,,,
27-Jun-2022,W15 Monastir,Hard,F,670,746,(5) Manon Leonard [FRA] d. (2) Mansouri,6-2 6-2,,,,,,,,
30-Oct-2017,Hammamet $15K,Clay,F,894,735,Mia Nicole Eklund [FIN] d. Mansouri,7-6(1) 6-4,,,,,,,,
