Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 W50 Bistrita SF,L vs Bulgaru,0.95,0.55,36.9,2.1,7.7%,34.6%,0.0%,30.4%,38.1%,40.0%
2023 Roland Garros R128,L vs Liu,1.03,0.58,42.0,2.0,3.7%,51.9%,0.0%,41.7%,24.0%,36.4%
2022 Wimbledon R128,L vs Riske Amritraj,0.82,0.46,31.3,2.0,0.0%,33.3%,0.0%,62.5%,19.2%,42.9%
2019 W25 Biella R32,L vs Rubini,0.77,0.70,43.9,2.2,-,52.9%,-,53.6%,35.0%,51.4%
2019 W80 Cagnes Sur Mer R16,L vs Perrin,0.77,0.38,27.5,2.1,2.9%,47.1%,3.0%,48.5%,27.3%,23.5%
2019 W80 Cagnes Sur Mer R32,W vs Wickmayer,1.19,1.56,42.7,2.1,2.6%,51.3%,2.6%,69.2%,55.6%,47.8%
2019 W25 Chiasso R32,L vs Galfi,0.95,0.72,47.9,3.8,2.8%,50.0%,0.0%,45.5%,28.1%,51.7%
2019 Lugano R32,L vs Pliskova,0.98,0.69,54.0,2.5,2.9%,60.0%,0.0%,51.5%,34.4%,27.6%
2019 W60 Croissy Beaubourg R32,L vs Bucsa,0.83,0.70,46.3,2.1,3.0%,51.5%,3.0%,45.5%,45.5%,41.9%
2019 W25 Yokohama QF,L vs Han,0.92,0.78,71.9,3.2,0.0%,53.1%,0.0%,65.9%,34.9%,34.3%
2019 W25 Yokohama R16,W vs Morgina,1.05,1.33,54.8,2.1,5.6%,58.3%,2.9%,65.7%,44.4%,52.9%
2019 W25 Yokohama R32,W vs Aikawa,1.22,1.70,43.9,2.1,0.0%,66.7%,0.0%,70.4%,40.0%,47.8%
2019 W25 Osaka SF,L vs Lu,0.97,0.86,79.7,3.0,0.0%,46.9%,0.0%,46.7%,40.4%,54.5%
2019 W25 Osaka QF,W vs Shimizu,1.13,1.24,60.4,3.9,0.0%,56.9%,0.0%,50.0%,47.6%,53.8%
2019 W25 Osaka R16,W vs Hontama,1.05,1.77,45.2,3.0,-,74.1%,-,65.2%,60.0%,40.7%
2019 W60 Kyoto F,W vs Zhang,1.03,1.56,43.7,2.0,0.0%,65.6%,0.0%,74.2%,51.7%,39.3%
2019 W60 Kyoto SF,W vs Anderson,1.05,1.24,63.4,5.6,-,59.6%,-,57.1%,45.7%,53.7%
2019 W60 Kyoto QF,W vs Nara,1.17,1.27,62.0,2.3,7.3%,70.7%,0.0%,55.0%,51.2%,28.9%
2019 W25 Grenoble R16,L vs Hesse,1.09,0.78,51.7,2.1,0.0%,40.0%,3.8%,42.3%,44.7%,38.9%
2019 W25 Plantation FL QF,L vs Baptiste,0.90,0.58,49.7,2.2,-,66.7%,-,52.9%,23.5%,27.6%
2025 (1 matches),,0.95,0.55,36.9,2.1,7.7%,34.6%,0.0%,30.4%,38.1%,40.0%
2023 (1 matches),,1.03,0.58,42.0,2.0,3.7%,51.9%,0.0%,41.7%,24.0%,36.4%
2022 (1 matches),,0.82,0.46,31.3,2.0,0.0%,33.3%,0.0%,62.5%,19.2%,42.9%
2019 (22 matches),,1.01,1.03,53.3,2.5,1.4%,56.3%,0.7%,55.4%,45.1%,44.9%
2017 (20 matches),,0.96,0.93,51.9,2.6,1.3%,51.8%,0.3%,53.0%,44.7%,48.3%
Career (64 matches),,1.00,1.01,51.1,2.5,1.2%,53.8%,0.7%,54.3%,46.2%,46.6%
