Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,20,9,11,45.0%,24-26,48.0%,244-245,49.9%,4-3,57.1%,18,65.7%,31.9%,4.0%,2.2%,62.9%,64.2%,45.3%,57.2%,42.1%,49.9%,0.98
Clay,3,1,2,33.3%,3-5,37.5%,31-47,39.7%,2-0,100.0%,3,52.6%,23.7%,0.7%,0.7%,68.0%,54.5%,45.5%,51.6%,35.9%,44.5%,0.74
Grass,4,2,2,50.0%,5-4,55.6%,41-42,49.4%,0-0,-,4,59.5%,39.0%,2.6%,2.6%,66.0%,64.4%,37.4%,55.2%,44.7%,49.7%,1.00
Grand Slams,4,0,4,0.0%,3-8,27.3%,46-60,43.4%,0-1,0.0%,4,53.8%,32.1%,1.4%,1.2%,64.6%,58.3%,41.8%,52.5%,40.8%,46.7%,0.86
Premiers,2,1,1,50.0%,2-2,50.0%,18-18,50.0%,0-0,-,2,61.1%,38.9%,5.6%,3.2%,63.7%,65.8%,37.8%,55.6%,43.0%,49.6%,0.97
Internationals,11,6,5,54.5%,14-13,51.9%,133-127,51.2%,1-2,33.3%,11,63.8%,38.6%,3.7%,1.8%,62.3%,65.2%,40.5%,55.9%,45.3%,50.6%,1.03
Quarter-finals,3,0,3,0.0%,1-6,14.3%,25-42,37.3%,0-1,0.0%,3,57.6%,18.2%,6.5%,2.2%,59.1%,66.4%,34.7%,53.4%,37.1%,45.5%,0.80
vs Righties,26,11,15,42.3%,30-34,46.9%,303-321,48.6%,6-3,66.7%,24,62.5%,32.3%,3.4%,2.1%,64.1%,62.5%,44.0%,55.9%,41.9%,49.1%,0.95
vs Lefties,1,1,0,100.0%,2-1,66.7%,13-13,50.0%,0-0,-,1,76.9%,23.1%,4.1%,1.4%,60.8%,73.3%,51.7%,64.9%,38.9%,50.6%,1.11
vs Top 10,5,0,5,0.0%,2-10,16.7%,41-68,37.6%,0-1,0.0%,5,52.8%,21.8%,3.2%,3.2%,60.4%,56.7%,44.2%,51.8%,34.6%,43.7%,0.72
