Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 BJK Cup Qualifiers RR,L vs Rybakina,1.10,0.38,33.5,2.0,0.0%,27.8%,0.0%,35.3%,35.0%,11.1%
2019 W15 Tabarka R32,W vs Liauw A Fong,1.06,1.76,39.5,2.1,-,60.0%,-,70.6%,63.3%,53.3%
2019 W15 Tabarka R32,W vs Kalaitzis,1.02,1.54,42.3,2.1,-,53.8%,-,66.7%,56.7%,64.3%
2019 W15 Tacarigua R16,W vs Wuarin,1.14,2.60,29.0,2.1,-,77.3%,-,55.0%,66.7%,86.7%
2019 W15 Bucaramanga R16,W vs Becerra,1.13,1.35,53.5,2.5,3.0%,54.5%,0.0%,56.3%,50.0%,56.7%
2019 W15 Guayaquil SF,W vs Reasco Gonzalez,1.22,1.75,41.1,2.0,8.0%,64.0%,0.0%,54.2%,48.0%,69.6%
2019 W15 Guayaquil QF,W vs Perez Garcia,1.11,2.30,35.1,2.1,0.0%,69.6%,0.0%,73.7%,52.2%,66.7%
2019 W15 Guayaquil R16,W vs Bueno,1.18,3.57,27.2,2.0,5.6%,88.9%,0.0%,62.5%,63.2%,81.3%
2019 W15 Guayaquil R32,W vs Schmidt,0.88,2.15,38.0,2.3,0.0%,71.4%,5.3%,84.2%,63.3%,46.4%
2019 W15 Antalya R32,L vs Topalova,0.98,0.83,67.5,8.2,0.0%,63.2%,0.0%,46.2%,40.4%,35.7%
2019 W15 Antalya R32,L vs Saigo,1.00,0.82,57.4,2.2,-,53.1%,-,44.7%,38.9%,45.2%
2017 Cucuta $15K R32,L vs Morales,0.98,0.71,57.8,2.3,2.7%,54.1%,0.0%,54.3%,30.3%,37.0%
2016 Antalya $10K F,L vs Lechemia,0.96,0.91,71.5,4.0,0.0%,64.2%,2.0%,43.1%,42.3%,45.1%
2016 Antalya $10K R16,W vs Bredl,1.11,1.91,37.7,2.6,0.0%,52.4%,0.0%,65.0%,68.2%,75.0%
2016 Antalya $10K QF,L vs Herazo Gonzalez,0.94,0.72,55.3,2.6,0.0%,48.6%,0.0%,51.5%,44.8%,30.8%
2016 Antalya $10K R16,W vs Cengiz,0.91,1.79,37.7,2.4,0.0%,60.0%,0.0%,73.7%,62.5%,69.6%
2016 Bogota R32,L vs Vickery,0.98,0.76,58.1,2.7,0.0%,54.3%,0.0%,50.0%,38.9%,35.3%
2016 Antalya $10K SF,L vs Romeo,0.86,0.84,65.8,11.2,0.0%,48.9%,0.0%,35.7%,54.3%,58.1%
2016 Antalya $10K QF,W vs Hruncakova,1.17,1.16,77.8,7.6,-,51.2%,-,55.0%,36.0%,57.1%
2016 Antalya $10K R32,W vs Sella,1.13,1.83,44.6,2.5,0.0%,63.0%,0.0%,58.3%,54.5%,73.7%
2025 (1 matches),,1.10,0.38,33.5,2.0,0.0%,27.8%,0.0%,35.3%,35.0%,11.1%
2019 (10 matches),,1.06,1.46,47.1,2.3,1.4%,63.3%,0.4%,57.4%,52.4%,56.4%
2017 (1 matches),,0.98,0.71,57.8,2.3,2.7%,54.1%,0.0%,54.3%,30.3%,37.0%
2016 (10 matches),,1.00,1.05,61.1,3.2,0.0%,55.8%,0.3%,49.9%,48.2%,51.4%
2014 (16 matches),,1.00,1.10,58.4,2.7,1.1%,58.1%,0.7%,53.5%,47.7%,49.8%
Career (44 matches),,1.00,1.07,56.8,2.7,0.8%,56.6%,0.6%,53.3%,47.3%,49.1%
