Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
02-Mar-2026,W15 Sharm ElSheikh,Hard,F,776,558,Hatouka d. Camilla Zanolini [ITA],0-6 6-2 7-6(10),0.94,0.7%,6.7%,74.1%,55.0%,22.9%,20/28,2:46
23-Feb-2026,W15 Sharm ElSheikh,Hard,F,796,1013,Hatouka d. Ela Nala Milic [SLO],6-2 6-3,1.63,4.1%,0.0%,81.6%,70.0%,66.7%,1/2,1:17
07-Oct-2024,W35 Joue-les-Tours,Hard,F,534,305,Hatouka d. (6) Ayla Aksu [USA],7-6(4) 7-6(8),,,,,,,,
29-May-2023,W60 Brescia,Clay,F,263,218,Katarina Zavatska [UKR] d. Hatouka,6-4 6-2,,,,,,,,
22-May-2023,W60 Grado,Clay,F,315,229,(8) Hatouka d. (6) Lucie Havlickova [CZE],2-6 6-3 6-1,,,,,,,,
16-Jan-2023,W40 Monastir,Hard,F,303,266,Sakura Hosogi [JPN] d. Hatouka,7-6(8) 6-4,,,,,,,,
07-Nov-2022,W25 Sharm ElSheikh,Hard,F,279,117,(2) Arantxa Rus [NED] d. (8) Hatouka,6-2 6-1,,,,,,,,
18-Oct-2021,W25 Karaganda,Hard,F,228,447,(2) Hatouka d. Ekaterina Kazionova [RUS],7-5 6-0,,,,,,,,
29-Mar-2021,W25 Dubai,Hard,F,300,258,Jodie Burrage [GBR] d. (Q) Hatouka,6-4 6-3,,,,,,,,
08-Mar-2021,W25 Kazan,Hard,F,333,231,Hatouka d. (6) Urszula Radwanska [POL],7-6(6) 4-6 6-4,,,,,,,,
