Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 W50 Nottingham R16,W vs Gillan,56% (5/9),100% (5/5),1/2,22% (2/9),0% (0/2),3/4,1/1,0/0,0/0,0/0
2024 Wimbledon R64,L vs Kasatkina,0% (0/6),- (0/0),0/6,100% (6/6),0% (0/6),0/0,0/0,0/0,0/0,0/0
2024 Wimbledon R128,W vs Korpatsch,63% (5/8),100% (5/5),0/0,0% (0/7),- (0/0),4/4,1/1,0/0,0/0,0/0
2023 US Open R64,L vs Bencic,11% (1/9),100% (1/1),1/3,56% (5/9),20% (1/5),1/1,0/0,1/2,0/0,0/1
2023 W100 Figueira De Foz QF,L vs Jorge,0% (0/9),- (0/0),0/2,50% (4/8),25% (1/4),0/0,0/0,0/1,0/0,0/0
2022 Nottingham R32,W vs Frech,33% (4/12),100% (4/4),1/3,42% (5/12),40% (2/5),4/4,2/2,1/1,1/1,0/0
2021 W25 Vigo F,L vs Gadecki,33% (3/9),33% (1/3),1/2,67% (6/9),33% (2/6),1/1,0/0,0/2,0/0,0/1
2019 W25 Madrid R32,W vs Pellicano,33% (6/18),100% (6/6),0/2,37% (7/19),14% (1/7),4/4,1/1,0/2,1/1,0/0
2019 W15 Cancun R16,L vs Villarreal,46% (6/13),83% (5/6),3/6,62% (8/13),0% (0/8),2/5,1/1,0/2,0/0,0/1
2019 W15 Cancun R32,W vs Boualem,44% (4/9),100% (4/4),1/1,22% (2/9),50% (1/2),3/4,2/2,0/0,1/1,0/0
2019 W25 Jackson MS R32,L vs Sanesi,30% (3/10),33% (1/3),1/4,50% (5/10),0% (0/5),0/1,0/0,0/1,0/0,0/1
2017 Chiswick $25K R32,L vs Grey,63% (5/8),20% (1/5),0/3,63% (5/8),0% (0/5),0/1,0/0,1/3,0/0,1/2
2017 Guimaraes $15K QF,L vs Koehler,25% (4/16),100% (4/4),0/3,50% (8/16),38% (3/8),2/4,1/2,0/2,0/1,0/1
2017 Guimaraes $15K R16,W vs Gravouil,45% (5/11),100% (5/5),2/2,40% (4/10),50% (2/4),4/4,1/2,1/1,0/1,0/0
2017 Guimaraes $15K R32,W vs Franze,67% (6/9),100% (6/6),1/2,22% (2/9),0% (0/2),5/6,2/2,1/1,1/1,0/0
2016 Valladolid $10K QF,L vs Murta,27% (3/11),100% (3/3),0/4,60% (6/10),17% (1/6),1/3,0/1,0/1,0/0,0/0
2016 Amarante $10K R32,L vs Eklund,29% (4/14),75% (3/4),0/3,36% (5/14),20% (1/5),2/2,0/0,1/2,0/0,0/1
2015 Chiswick $10K R16,L vs Parish,40% (4/10),100% (4/4),3/6,73% (8/11),13% (1/8),1/4,0/1,0/1,0/0,0/1
2014 Valladolid 10K R32,W vs Nagymihaly,73% (8/11),88% (7/8),3/5,45% (5/11),0% (0/5),5/7,2/2,1/1,1/1,0/0
2014 Sharm El Sheikh 10K F,L vs Saitova,56% (5/9),40% (2/5),1/5,75% (6/8),17% (1/6),1/2,0/0,1/1,0/0,0/0
2025 (1 matches),,55.6%,100.0%,50.0%,22.2%,0.0%,75.0%,100.0%,-,-,-
2024 (2 matches),,35.7%,100.0%,0.0%,46.2%,0.0%,100.0%,100.0%,-,-,-
2023 (2 matches),,5.6%,100.0%,20.0%,52.9%,22.2%,100.0%,-,33.3%,-,0.0%
2022 (1 matches),,33.3%,100.0%,33.3%,41.7%,40.0%,100.0%,100.0%,100.0%,100.0%,-
2021 (1 matches),,33.3%,33.3%,50.0%,66.7%,33.3%,100.0%,-,0.0%,-,0.0%
Career (29 matches),,43.8%,82.0%,33.0%,48.8%,21.2%,67.3%,71.9%,39.3%,69.2%,20.0%
