Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2021 US Open R128,L vs Anisimova,92.8,95.1,7.1,96.7,93.0,104,71,85.6,4.1,85.0,,92,77
2019 US Open R128,L vs Barty,89.2,92.9,7.5,100.3,90.4,105,79,83.5,3.9,88.0,84.3,92,76
2019 Roland Garros R128,W vs Albie,88.8,90.1,5.1,,,100,78,79.8,4.2,,,86,74
2018 US Open R128,L vs Pliskova,97.1,101.5,5.7,103.8,96.5,110,86,86.4,4.6,89.5,87.0,95,76
2017 Wimbledon R32,L vs Martic,95.6,97.6,5.4,101.7,92.8,106,85,89.7,3.2,91.2,,96,85
2016 Roland Garros R64,L vs Halep,90.9,91.6,4.6,96.1,88.4,101,79,87.4,1.4,87.0,85.0,90,85
2016 Australian Open R128,L vs Keys,93.8,97.0,7.4,,,109,81,85.7,5.7,,,98,77
2015 Wimbledon R16,L vs Sharapova,95.8,98.7,4.9,,,107,90,89.6,3.1,,,95,84
2015 Wimbledon R32,W vs Petkovic,95.2,99.4,6.6,,,109,67,85.6,6.0,,,94,68
2015 Roland Garros R64,L vs Van Uytvanck,96.3,98.1,6.4,,,108,72,88.7,5.2,,,97,82
2015 Australian Open R32,L vs Sharapova,94.9,98.2,4.3,,,107,92,89.7,3.6,,,95,83
2014 US Open R32,L vs Makarova,91.0,93.6,4.9,,,103,81,84.2,3.8,,,90,79
2014 US Open R64,W vs Bellis,88.3,89.9,4.3,,,105,78,82.2,3.7,,,89,76
2014 Wimbledon R16,L vs Halep,96.1,100.2,4.1,,,106,91,88.5,3.5,,,95,84
2014 Wimbledon R32,W vs Zvonareva,99.4,103.0,3.5,,,110,94,89.8,3.6,,,98,84
2014 Wimbledon R64,W vs Suarez Navarro,98.0,102.6,5.7,,,110,68,89.0,4.7,,,98,79
2014 Roland Garros R128,L vs Kvitova,93.8,98.4,4.2,,,105,88,86.5,4.2,,,95,78
2014 Australian Open R32,L vs Halep,87.5,,,,,102,,,,,,,66
Career (18 matches),,94.0,97.1,5.4,100.2,91.0,110,67,87.0,4.1,88.9,85.0,98,66
