Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
7,Eva Birnerova [CZE],6,1,85.7%,0,0,0,-,2003,2010,0,,,,,,,,,,
7,Vanessa Henke [GER],4,3,57.1%,1,1,0,100.0%,2001,2006,0,,,,,,,,,,
6,Roberta Vinci [ITA],4,2,66.7%,0,0,0,-,2003,2010,1,1.76,2.2%,0.0%,78.3%,69.4%,60.0%,67.4%,57.4%,50.0%,55.6%
6,Dally Randriantefy [MAD],2,4,33.3%,0,0,0,-,2001,2005,0,,,,,,,,,,
6,Angelika Roesch [GER],4,2,66.7%,2,0,2,0.0%,1998,2004,0,,,,,,,,,,
5,Lucie Hradecka [CZE],3,2,60.0%,1,1,0,100.0%,2004,2011,1,0.63,6.1%,6.1%,63.3%,54.8%,33.3%,46.9%,33.3%,28.6%,33.3%
5,Greta Arn [HUN],4,1,80.0%,0,0,0,-,1998,2011,1,0.53,0.0%,4.9%,61.0%,32.0%,31.3%,31.7%,35.9%,14.3%,100.0%
5,Maria Elena Camerin [ITA],2,3,40.0%,1,1,0,100.0%,2006,2010,2,0.96,0.0%,7.5%,64.2%,48.1%,39.5%,45.0%,52.6%,50.0%,52.4%
5,Yuliya Beygelzimer [UKR],4,1,80.0%,0,0,0,-,2000,2006,0,,,,,,,,,,
5,Martina Sucha [SVK],2,3,40.0%,1,1,0,100.0%,1999,2006,0,,,,,,,,,,
5,Maja Matevzic [SLO],3,2,60.0%,1,1,0,100.0%,1999,2002,0,,,,,,,,,,
4,Kristina Barrois [GER],2,2,50.0%,2,0,2,0.0%,2009,2010,0,,,,,,,,,,
4,Stephanie Cohen Aloro [FRA],4,0,100.0%,0,0,0,-,2003,2010,0,,,,,,,,,,
4,Eva Hrdinova [CZE],4,0,100.0%,0,0,0,-,2004,2010,0,,,,,,,,,,
4,Tsvetana Pironkova [BUL],2,2,50.0%,0,0,0,-,2005,2009,0,,,,,,,,,,
